gene_ID_robin,gene_ID_ncbi,module_identity,GCN,start,end
Ophcf2|00426,GQ602_000426,brown,ophio_cflo,1758775,1760838
Ophcf2|00434,GQ602_000434,brown,ophio_cflo,1776659,1778344
Ophcf2|00435,GQ602_000435,brown,ophio_cflo,1779779,1782177
Ophcf2|00438,GQ602_000438,brown,ophio_cflo,1788015,1789723
Ophcf2|00446,GQ602_000446,brown,ophio_cflo,1814253,1815204
Ophcf2|00447,GQ602_000447,brown,ophio_cflo,1816492,1821251
Ophcf2|00452,GQ602_000452,brown,ophio_cflo,1831878,1836454
Ophcf2|00468,GQ602_000468,brown,ophio_cflo,1885906,1887438
Ophcf2|00469,GQ602_000469,brown,ophio_cflo,1887977,1889624
Ophcf2|00470,GQ602_000470,brown,ophio_cflo,1890270,1891994
Ophcf2|00471,GQ602_000471,brown,ophio_cflo,1893007,1894485
Ophcf2|00489,GQ602_000489,brown,ophio_cflo,2053941,2055559
Ophcf2|00498,GQ602_000498,brown,ophio_cflo,2079368,2081650
Ophcf2|00504,GQ602_000504,brown,ophio_cflo,2093030,2094512
Ophcf2|00505,GQ602_000505,brown,ophio_cflo,2095967,2096728
Ophcf2|00511,GQ602_000511,brown,ophio_cflo,2115082,2117400
Ophcf2|00530,GQ602_000530,brown,ophio_cflo,2159862,2161232
Ophcf2|00542,GQ602_000542,brown,ophio_cflo,2181860,2185425
Ophcf2|00553,GQ602_000553,brown,ophio_cflo,2210586,2211539
Ophcf2|00556,GQ602_000556,brown,ophio_cflo,2220708,2222165
Ophcf2|00572,GQ602_000572,brown,ophio_cflo,2263397,2265577
Ophcf2|00576,GQ602_000576,brown,ophio_cflo,2277049,2280859
Ophcf2|00586,GQ602_000586,brown,ophio_cflo,2306385,2308877
Ophcf2|00595,GQ602_000595,brown,ophio_cflo,2333542,2335656
Ophcf2|00609,GQ602_000609,brown,ophio_cflo,2377100,2378837
Ophcf2|00617,GQ602_000617,brown,ophio_cflo,2402522,2404206
Ophcf2|00623,GQ602_000623,brown,ophio_cflo,2426192,2428698
Ophcf2|00632,GQ602_000632,brown,ophio_cflo,2450049,2451973
Ophcf2|00653,GQ602_000653,brown,ophio_cflo,2530460,2531710
Ophcf2|00654,GQ602_000654,brown,ophio_cflo,2532473,2537641
Ophcf2|00657,GQ602_000657,brown,ophio_cflo,2548277,2550842
Ophcf2|00661,GQ602_000661,brown,ophio_cflo,2558558,2559235
Ophcf2|00663,GQ602_000663,brown,ophio_cflo,2561257,2563385
Ophcf2|00664,GQ602_000664,brown,ophio_cflo,2563623,2565570
Ophcf2|00681,GQ602_000681,brown,ophio_cflo,2603463,2604736
Ophcf2|00682,GQ602_000682,brown,ophio_cflo,2605233,2606738
Ophcf2|00684,GQ602_000684,brown,ophio_cflo,2608145,2609292
Ophcf2|00686,GQ602_000686,brown,ophio_cflo,2618016,2620059
Ophcf2|00695,GQ602_000695,brown,ophio_cflo,2642165,2644558
Ophcf2|00715,GQ602_000715,brown,ophio_cflo,2703057,2703814
Ophcf2|00719,GQ602_000719,brown,ophio_cflo,2713448,2715311
Ophcf2|00720,GQ602_000720,brown,ophio_cflo,2716637,2717548
Ophcf2|00723,GQ602_000723,brown,ophio_cflo,2722016,2724295
Ophcf2|00730,GQ602_000730,brown,ophio_cflo,2738005,2743413
Ophcf2|00731,GQ602_000731,brown,ophio_cflo,2744167,2746089
Ophcf2|00736,GQ602_000736,brown,ophio_cflo,2807724,2808218
Ophcf2|00743,GQ602_000743,brown,ophio_cflo,2828921,2829401
Ophcf2|00745,GQ602_000745,brown,ophio_cflo,2835208,2836764
Ophcf2|00746,GQ602_000746,brown,ophio_cflo,2842889,2848267
Ophcf2|00753,GQ602_000753,brown,ophio_cflo,2872641,2873801
Ophcf2|00754,GQ602_000754,brown,ophio_cflo,2874679,2875231
Ophcf2|00758,GQ602_000758,brown,ophio_cflo,2883183,2884964
Ophcf2|00765,GQ602_000765,brown,ophio_cflo,2911209,2912632
Ophcf2|00773,GQ602_000773,brown,ophio_cflo,2930284,2930967
Ophcf2|00787,GQ602_000787,brown,ophio_cflo,2978420,2979076
Ophcf2|00788,GQ602_000788,brown,ophio_cflo,2980044,2981863
Ophcf2|00794,GQ602_000794,brown,ophio_cflo,3133738,3134317
Ophcf2|00800,GQ602_000800,brown,ophio_cflo,3149549,3151459
Ophcf2|00805,GQ602_000805,brown,ophio_cflo,3164787,3166892
Ophcf2|00833,GQ602_000833,brown,ophio_cflo,3226316,3234097
Ophcf2|00837,GQ602_000837,brown,ophio_cflo,3241161,3243192
Ophcf2|00844,GQ602_000844,brown,ophio_cflo,3263051,3264340
Ophcf2|00846,GQ602_000846,brown,ophio_cflo,3270511,3271980
Ophcf2|00862,GQ602_000862,brown,ophio_cflo,3309841,3310789
Ophcf2|00866,GQ602_000866,brown,ophio_cflo,3319149,3321392
Ophcf2|00867,GQ602_000867,brown,ophio_cflo,3324099,3326846
Ophcf2|00877,GQ602_000877,brown,ophio_cflo,3356743,3364311
Ophcf2|00881,GQ602_000881,brown,ophio_cflo,3371074,3373192
Ophcf2|00885,GQ602_000885,brown,ophio_cflo,3382452,3384892
Ophcf2|00891,GQ602_000891,brown,ophio_cflo,3408499,3411941
Ophcf2|00892,GQ602_000892,brown,ophio_cflo,3412668,3417240
Ophcf2|00899,GQ602_000899,brown,ophio_cflo,3441577,3444765
Ophcf2|00904,GQ602_000904,brown,ophio_cflo,3453230,3454480
Ophcf2|00908,GQ602_000908,brown,ophio_cflo,3465345,3467099
Ophcf2|00914,GQ602_000914,brown,ophio_cflo,3478295,3479303
Ophcf2|00915,GQ602_000915,brown,ophio_cflo,3480234,3482040
Ophcf2|00920,GQ602_000920,brown,ophio_cflo,3492878,3494529
Ophcf2|00921,GQ602_000921,brown,ophio_cflo,3495617,3497175
Ophcf2|00932,GQ602_000932,brown,ophio_cflo,3598280,3598819
Ophcf2|00933,GQ602_000933,brown,ophio_cflo,3599317,3600224
Ophcf2|00941,GQ602_000941,brown,ophio_cflo,3627718,3629490
Ophcf2|00944,GQ602_000944,brown,ophio_cflo,3634315,3634715
Ophcf2|00948,GQ602_000948,brown,ophio_cflo,3641092,3644116
Ophcf2|00957,GQ602_000957,brown,ophio_cflo,3668274,3668516
Ophcf2|00962,GQ602_000962,brown,ophio_cflo,3681007,3682936
Ophcf2|00964,GQ602_000964,brown,ophio_cflo,3689759,3691452
Ophcf2|00968,GQ602_000968,brown,ophio_cflo,3699653,3700473
Ophcf2|00976,GQ602_000976,brown,ophio_cflo,3715692,3717712
Ophcf2|00977,GQ602_000977,brown,ophio_cflo,3717984,3720704
Ophcf2|00979,GQ602_000979,brown,ophio_cflo,3721993,3722694
Ophcf2|00983,GQ602_000983,brown,ophio_cflo,3725491,3727001
Ophcf2|00985,GQ602_000985,brown,ophio_cflo,3733017,3734949
Ophcf2|00987,GQ602_000987,brown,ophio_cflo,3736921,3738836
Ophcf2|01001,GQ602_001001,brown,ophio_cflo,3780520,3780945
Ophcf2|01007,GQ602_001007,brown,ophio_cflo,3797819,3799061
Ophcf2|01017,GQ602_001017,brown,ophio_cflo,3819412,3820399
Ophcf2|01026,GQ602_001026,brown,ophio_cflo,3835335,3837011
Ophcf2|01033,GQ602_001033,brown,ophio_cflo,3860046,3862610
Ophcf2|01037,GQ602_001037,brown,ophio_cflo,3869420,3872893
Ophcf2|01046,GQ602_001046,brown,ophio_cflo,3921459,3923373
Ophcf2|01048,GQ602_001048,brown,ophio_cflo,3928273,3929341
Ophcf2|01050,GQ602_001050,brown,ophio_cflo,3932172,3932506
Ophcf2|01051,GQ602_001051,brown,ophio_cflo,3932777,3933799
Ophcf2|01052,GQ602_001052,brown,ophio_cflo,3934140,3934649
Ophcf2|01066,GQ602_001066,brown,ophio_cflo,3969776,3970467
Ophcf2|01074,GQ602_001074,brown,ophio_cflo,4000430,4001650
Ophcf2|01081,GQ602_001081,brown,ophio_cflo,4011921,4013334
Ophcf2|01085,GQ602_001085,brown,ophio_cflo,4020458,4023415
Ophcf2|01091,GQ602_001091,brown,ophio_cflo,4044019,4045843
Ophcf2|01093,GQ602_001093,brown,ophio_cflo,4051284,4051728
Ophcf2|01103,GQ602_001103,brown,ophio_cflo,4065675,4066672
Ophcf2|01108,GQ602_001108,brown,ophio_cflo,4081576,4082532
Ophcf2|01115,GQ602_001115,brown,ophio_cflo,4094488,4095021
Ophcf2|01117,GQ602_001117,brown,ophio_cflo,4098117,4098914
Ophcf2|01118,GQ602_001118,brown,ophio_cflo,4099340,4100352
Ophcf2|01121,GQ602_001121,brown,ophio_cflo,4103260,4104044
Ophcf2|01128,GQ602_001128,brown,ophio_cflo,4117920,4122143
Ophcf2|01129,GQ602_001129,brown,ophio_cflo,4122537,4125779
Ophcf2|01143,GQ602_001143,brown,ophio_cflo,4175317,4178847
Ophcf2|01146,GQ602_001146,brown,ophio_cflo,4187035,4188254
Ophcf2|01147,GQ602_001147,brown,ophio_cflo,4189320,4191098
Ophcf2|01155,GQ602_001155,brown,ophio_cflo,4212442,4213113
Ophcf2|01189,GQ602_001189,brown,ophio_cflo,4319024,4319512
Ophcf2|01192,GQ602_001192,brown,ophio_cflo,4332663,4334983
Ophcf2|01203,GQ602_001203,brown,ophio_cflo,4362796,4365363
Ophcf2|01217,GQ602_001217,brown,ophio_cflo,4402313,4402717
Ophcf2|01223,GQ602_001223,brown,ophio_cflo,4425062,4428434
Ophcf2|01228,GQ602_001228,brown,ophio_cflo,4435789,4436376
Ophcf2|01229,GQ602_001229,brown,ophio_cflo,4438686,4439847
Ophcf2|01235,GQ602_001235,brown,ophio_cflo,4456274,4461572
Ophcf2|01248,GQ602_001248,brown,ophio_cflo,4491673,4492986
Ophcf2|01250,GQ602_001250,brown,ophio_cflo,4494196,4496805
Ophcf2|01253,GQ602_001253,brown,ophio_cflo,4502489,4505507
Ophcf2|01262,GQ602_001262,brown,ophio_cflo,4529284,4529578
Ophcf2|01263,GQ602_001263,brown,ophio_cflo,4530099,4531487
Ophcf2|01264,GQ602_001264,brown,ophio_cflo,4531734,4533626
Ophcf2|01267,GQ602_001267,brown,ophio_cflo,4542125,4543890
Ophcf2|01282,GQ602_001282,brown,ophio_cflo,4584816,4586875
Ophcf2|01286,GQ602_001286,brown,ophio_cflo,4592172,4592876
Ophcf2|01289,GQ602_001289,brown,ophio_cflo,4597063,4597892
Ophcf2|01292,GQ602_001292,brown,ophio_cflo,4605024,4605965
Ophcf2|01300,GQ602_001300,brown,ophio_cflo,4622082,4623091
Ophcf2|01303,GQ602_001303,brown,ophio_cflo,4629978,4633642
Ophcf2|01314,GQ602_001314,brown,ophio_cflo,4659979,4660947
Ophcf2|01319,GQ602_001319,brown,ophio_cflo,4672619,4674766
Ophcf2|01325,GQ602_001325,brown,ophio_cflo,4686873,4701584
Ophcf2|01326,GQ602_001326,brown,ophio_cflo,4703668,4705409
Ophcf2|01338,GQ602_001338,brown,ophio_cflo,4729035,4730900
Ophcf2|01339,GQ602_001339,brown,ophio_cflo,4732580,4735280
Ophcf2|01349,GQ602_001349,brown,ophio_cflo,4760365,4761465
Ophcf2|01352,GQ602_001352,brown,ophio_cflo,4768486,4769674
Ophcf2|01354,GQ602_001354,brown,ophio_cflo,4772845,4774399
Ophcf2|01356,GQ602_001356,brown,ophio_cflo,4776972,4778911
Ophcf2|01358,GQ602_001358,brown,ophio_cflo,4786920,4788368
Ophcf2|01363,GQ602_001363,brown,ophio_cflo,4798810,4799343
Ophcf2|01366,GQ602_001366,brown,ophio_cflo,4808258,4811697
Ophcf2|01370,GQ602_001370,brown,ophio_cflo,4821928,4824042
Ophcf2|01383,GQ602_001383,brown,ophio_cflo,4858984,4859630
Ophcf2|01393,GQ602_001393,brown,ophio_cflo,4882434,4883839
Ophcf2|01396,GQ602_001396,brown,ophio_cflo,4889321,4890435
Ophcf2|01420,GQ602_001420,brown,ophio_cflo,4962332,4963624
Ophcf2|01424,GQ602_001424,brown,ophio_cflo,4970921,4972195
Ophcf2|01430,GQ602_001430,brown,ophio_cflo,4984005,4985255
Ophcf2|01434,GQ602_001434,brown,ophio_cflo,4992692,4993528
Ophcf2|01452,GQ602_001452,brown,ophio_cflo,5038582,5039643
Ophcf2|01468,GQ602_001468,brown,ophio_cflo,5083787,5086067
Ophcf2|01470,GQ602_001470,brown,ophio_cflo,5088874,5089763
Ophcf2|01473,GQ602_001473,brown,ophio_cflo,5097844,5098468
Ophcf2|01477,GQ602_001477,brown,ophio_cflo,5110854,5111408
Ophcf2|01487,GQ602_001487,brown,ophio_cflo,5133904,5134406
Ophcf2|01488,GQ602_001488,brown,ophio_cflo,5135537,5137386
Ophcf2|01496,GQ602_001496,brown,ophio_cflo,5157150,5158428
Ophcf2|01498,GQ602_001498,brown,ophio_cflo,5161456,5162589
Ophcf2|01501,GQ602_001501,brown,ophio_cflo,5165954,5168263
Ophcf2|01518,GQ602_001518,brown,ophio_cflo,5202514,5206324
Ophcf2|01525,GQ602_001525,brown,ophio_cflo,5225531,5226517
Ophcf2|01536,GQ602_001536,brown,ophio_cflo,5261716,5263071
Ophcf2|01539,GQ602_001539,brown,ophio_cflo,5267029,5267608
Ophcf2|01543,GQ602_001543,brown,ophio_cflo,5280812,5282861
Ophcf2|01558,GQ602_001558,brown,ophio_cflo,5326515,5328812
Ophcf2|01567,GQ602_001567,brown,ophio_cflo,5350698,5351403
Ophcf2|01590,GQ602_001590,brown,ophio_cflo,5419011,5423353
Ophcf2|01609,GQ602_001609,brown,ophio_cflo,5478256,5479624
Ophcf2|01610,GQ602_001610,brown,ophio_cflo,5516384,5518996
Ophcf2|01619,GQ602_001619,brown,ophio_cflo,5538540,5539899
Ophcf2|01625,GQ602_001625,brown,ophio_cflo,5551770,5555492
Ophcf2|01630,GQ602_001630,brown,ophio_cflo,5561774,5562742
Ophcf2|01636,GQ602_001636,brown,ophio_cflo,5570808,5574211
Ophcf2|01637,GQ602_001637,brown,ophio_cflo,5575037,5576416
Ophcf2|01642,GQ602_001642,brown,ophio_cflo,5585827,5587287
Ophcf2|01643,GQ602_001643,brown,ophio_cflo,5587604,5589974
Ophcf2|01651,GQ602_001651,brown,ophio_cflo,62808,64702
Ophcf2|01652,GQ602_001652,brown,ophio_cflo,65446,66832
Ophcf2|01658,GQ602_001658,brown,ophio_cflo,80650,81717
Ophcf2|01663,GQ602_001663,brown,ophio_cflo,96116,97846
Ophcf2|01664,GQ602_001664,brown,ophio_cflo,99646,101597
Ophcf2|01667,GQ602_001667,brown,ophio_cflo,107017,107391
Ophcf2|01668,GQ602_001668,brown,ophio_cflo,107644,108031
Ophcf2|01669,GQ602_001669,brown,ophio_cflo,108234,111007
Ophcf2|01672,GQ602_001672,brown,ophio_cflo,119604,120830
Ophcf2|01675,GQ602_001675,brown,ophio_cflo,127117,127594
Ophcf2|01679,GQ602_001679,brown,ophio_cflo,136323,137219
Ophcf2|01683,GQ602_001683,brown,ophio_cflo,142669,143826
Ophcf2|01699,GQ602_001699,brown,ophio_cflo,188276,189840
Ophcf2|01717,GQ602_001717,brown,ophio_cflo,250162,253696
Ophcf2|01728,GQ602_001728,brown,ophio_cflo,286997,287961
Ophcf2|01743,GQ602_001743,brown,ophio_cflo,335593,336823
Ophcf2|01745,GQ602_001745,brown,ophio_cflo,349931,352440
Ophcf2|01748,GQ602_001748,brown,ophio_cflo,359255,361378
Ophcf2|01749,GQ602_001749,brown,ophio_cflo,361877,366113
Ophcf2|01750,GQ602_001750,brown,ophio_cflo,367976,368915
Ophcf2|01756,GQ602_001756,brown,ophio_cflo,381287,382081
Ophcf2|01769,GQ602_001769,brown,ophio_cflo,404938,408149
Ophcf2|01775,GQ602_001775,brown,ophio_cflo,427951,431297
Ophcf2|01794,GQ602_001794,brown,ophio_cflo,527946,529232
Ophcf2|01796,GQ602_001796,brown,ophio_cflo,638628,639287
Ophcf2|01804,GQ602_001804,brown,ophio_cflo,908537,910373
Ophcf2|01810,GQ602_001810,brown,ophio_cflo,1181576,1183996
Ophcf2|01812,GQ602_001812,brown,ophio_cflo,1204887,1205761
Ophcf2|01814,GQ602_001814,brown,ophio_cflo,1292165,1296034
Ophcf2|01815,GQ602_001815,brown,ophio_cflo,1370815,1372445
Ophcf2|01819,GQ602_001819,brown,ophio_cflo,1478104,1479656
Ophcf2|01823,GQ602_001823,brown,ophio_cflo,1668955,1670784
Ophcf2|01824,GQ602_001824,brown,ophio_cflo,1764957,1769308
Ophcf2|01825,GQ602_001825,brown,ophio_cflo,1791973,1793406
Ophcf2|01827,GQ602_001827,brown,ophio_cflo,1795581,1798270
Ophcf2|01828,GQ602_001828,brown,ophio_cflo,1798546,1800606
Ophcf2|01832,GQ602_001832,brown,ophio_cflo,1846029,1848004
Ophcf2|01834,GQ602_001834,brown,ophio_cflo,1850675,1852589
Ophcf2|01836,GQ602_001836,brown,ophio_cflo,1858387,1861485
Ophcf2|01837,GQ602_001837,brown,ophio_cflo,1863180,1864103
Ophcf2|01838,GQ602_001838,brown,ophio_cflo,1865295,1865784
Ophcf2|01839,GQ602_001839,brown,ophio_cflo,1866313,1867977
Ophcf2|01844,GQ602_001844,brown,ophio_cflo,1887187,1889822
Ophcf2|01861,GQ602_001861,brown,ophio_cflo,1939028,1940865
Ophcf2|01875,GQ602_001875,brown,ophio_cflo,1974043,1974910
Ophcf2|01878,GQ602_001878,brown,ophio_cflo,1980552,1982951
Ophcf2|01891,GQ602_001891,brown,ophio_cflo,2014306,2014853
Ophcf2|01892,GQ602_001892,brown,ophio_cflo,2016069,2018759
Ophcf2|01904,GQ602_001904,brown,ophio_cflo,2060609,2061769
Ophcf2|01915,GQ602_001915,brown,ophio_cflo,2088107,2090453
Ophcf2|01916,GQ602_001916,brown,ophio_cflo,2092148,2093400
Ophcf2|01930,GQ602_001930,brown,ophio_cflo,2118648,2119226
Ophcf2|01931,GQ602_001931,brown,ophio_cflo,2120228,2121780
Ophcf2|01932,GQ602_001932,brown,ophio_cflo,2122489,2123679
Ophcf2|01934,GQ602_001934,brown,ophio_cflo,2124669,2130935
Ophcf2|01935,GQ602_001935,brown,ophio_cflo,2133594,2137121
Ophcf2|01939,GQ602_001939,brown,ophio_cflo,2144600,2146168
Ophcf2|01947,GQ602_001947,brown,ophio_cflo,2163395,2165272
Ophcf2|01949,GQ602_001949,brown,ophio_cflo,2170198,2171462
Ophcf2|01958,GQ602_001958,brown,ophio_cflo,2208096,2210312
Ophcf2|01969,GQ602_001969,brown,ophio_cflo,2247791,2248122
Ophcf2|01970,GQ602_001970,brown,ophio_cflo,2248185,2248520
Ophcf2|01979,GQ602_001979,brown,ophio_cflo,2266687,2268204
Ophcf2|01981,GQ602_001981,brown,ophio_cflo,2287838,2290379
Ophcf2|01984,GQ602_001984,brown,ophio_cflo,2296557,2296979
Ophcf2|01995,GQ602_001995,brown,ophio_cflo,2324946,2325783
Ophcf2|02003,GQ602_002003,brown,ophio_cflo,2347764,2348252
Ophcf2|02005,GQ602_002005,brown,ophio_cflo,2349730,2350809
Ophcf2|02026,GQ602_002026,brown,ophio_cflo,2402851,2404578
Ophcf2|02027,GQ602_002027,brown,ophio_cflo,2404838,2405131
Ophcf2|02028,GQ602_002028,brown,ophio_cflo,2407106,2412105
Ophcf2|02031,GQ602_002031,brown,ophio_cflo,2414648,2420807
Ophcf2|02046,GQ602_002046,brown,ophio_cflo,2464773,2468456
Ophcf2|02048,GQ602_002048,brown,ophio_cflo,2472431,2475866
Ophcf2|02095,GQ602_002095,brown,ophio_cflo,2587992,2589982
Ophcf2|02103,GQ602_002103,brown,ophio_cflo,2611180,2612916
Ophcf2|02108,GQ602_002108,brown,ophio_cflo,2620231,2621997
Ophcf2|02118,GQ602_002118,brown,ophio_cflo,2637510,2639438
Ophcf2|02120,GQ602_002120,brown,ophio_cflo,2645715,2646032
Ophcf2|02121,GQ602_002121,brown,ophio_cflo,2649548,2650057
Ophcf2|02136,GQ602_002136,brown,ophio_cflo,2683064,2683705
Ophcf2|02160,GQ602_002160,brown,ophio_cflo,2789967,2790728
Ophcf2|02162,GQ602_002162,brown,ophio_cflo,2795771,2802028
Ophcf2|02169,GQ602_002169,brown,ophio_cflo,2811781,2813381
Ophcf2|02171,GQ602_002171,brown,ophio_cflo,2819309,2820361
Ophcf2|02186,GQ602_002186,brown,ophio_cflo,2859649,2859858
Ophcf2|02228,GQ602_002228,brown,ophio_cflo,2966407,2968986
Ophcf2|02232,GQ602_002232,brown,ophio_cflo,2986635,2989384
Ophcf2|02235,GQ602_002235,brown,ophio_cflo,3000998,3001930
Ophcf2|02246,GQ602_002246,brown,ophio_cflo,3030684,3033121
Ophcf2|02260,GQ602_002260,brown,ophio_cflo,3068395,3071326
Ophcf2|02275,GQ602_002275,brown,ophio_cflo,3114537,3115360
Ophcf2|02285,GQ602_002285,brown,ophio_cflo,3140542,3141463
Ophcf2|02288,GQ602_002288,brown,ophio_cflo,3145172,3146886
Ophcf2|02293,GQ602_002293,brown,ophio_cflo,3157530,3158642
Ophcf2|02297,GQ602_002297,brown,ophio_cflo,3171106,3172519
Ophcf2|02305,GQ602_002305,brown,ophio_cflo,3200070,3204977
Ophcf2|02311,GQ602_002311,brown,ophio_cflo,3218011,3219543
Ophcf2|02326,GQ602_002326,brown,ophio_cflo,3346919,3349591
Ophcf2|02341,GQ602_002341,brown,ophio_cflo,3401285,3402343
Ophcf2|02342,GQ602_002342,brown,ophio_cflo,3406932,3408382
Ophcf2|02345,GQ602_002345,brown,ophio_cflo,3413833,3414533
Ophcf2|02346,GQ602_002346,brown,ophio_cflo,3414837,3416568
Ophcf2|02348,GQ602_002348,brown,ophio_cflo,3423188,3424380
Ophcf2|02354,GQ602_002354,brown,ophio_cflo,3442475,3444104
Ophcf2|02362,GQ602_002362,brown,ophio_cflo,3460623,3462375
Ophcf2|02385,GQ602_002385,brown,ophio_cflo,3512676,3515023
Ophcf2|02410,GQ602_002410,brown,ophio_cflo,3672064,3672423
Ophcf2|02412,GQ602_002412,brown,ophio_cflo,3675297,3676544
Ophcf2|02418,GQ602_002418,brown,ophio_cflo,3694184,3695064
Ophcf2|02421,GQ602_002421,brown,ophio_cflo,3702675,3703145
Ophcf2|02422,GQ602_002422,brown,ophio_cflo,3703636,3704880
Ophcf2|02441,GQ602_002441,brown,ophio_cflo,3753631,3754675
Ophcf2|02447,GQ602_002447,brown,ophio_cflo,3767611,3769509
Ophcf2|02450,GQ602_002450,brown,ophio_cflo,3774259,3776114
Ophcf2|02453,GQ602_002453,brown,ophio_cflo,3784588,3786360
Ophcf2|02463,GQ602_002463,brown,ophio_cflo,3814737,3816844
Ophcf2|02465,GQ602_002465,brown,ophio_cflo,3821611,3823282
Ophcf2|02472,GQ602_002472,brown,ophio_cflo,3836887,3838731
Ophcf2|02474,GQ602_002474,brown,ophio_cflo,3844237,3845597
Ophcf2|02489,GQ602_002489,brown,ophio_cflo,3877947,3880164
Ophcf2|02491,GQ602_002491,brown,ophio_cflo,3883629,3888195
Ophcf2|02497,GQ602_002497,brown,ophio_cflo,3917468,3920440
Ophcf2|02499,GQ602_002499,brown,ophio_cflo,3923863,3924550
Ophcf2|02501,GQ602_002501,brown,ophio_cflo,3926535,3928751
Ophcf2|02508,GQ602_002508,brown,ophio_cflo,3944305,3944858
Ophcf2|02509,GQ602_002509,brown,ophio_cflo,3945839,3946900
