"start","end","attributes_robin","attributes_ncbi"
3335,3683,"Beaba1|1","BBA_00001"
746821,747319,"Beaba1|254","BBA_00254"
749238,750569,"Beaba1|255","BBA_00255"
751228,752457,"Beaba1|256","BBA_00256"
752901,755208,"Beaba1|257","BBA_00257"
755913,756818,"Beaba1|258","BBA_00258"
758403,758732,"Beaba1|259","BBA_00259"
768897,774238,"Beaba1|260","BBA_00260"
775130,776576,"Beaba1|261","BBA_00261"
776871,778109,"Beaba1|262","BBA_00262"
778270,778899,"Beaba1|263","BBA_00263"
779840,782222,"Beaba1|264","BBA_00264"
782947,786360,"Beaba1|265","BBA_00265"
789655,790797,"Beaba1|266","BBA_00266"
791555,794170,"Beaba1|267","BBA_00267"
795920,796581,"Beaba1|268","BBA_00268"
796861,797568,"Beaba1|269","BBA_00269"
797761,801102,"Beaba1|270","BBA_00270"
801405,803085,"Beaba1|271","BBA_00271"
803445,804791,"Beaba1|272","BBA_00272"
805157,806439,"Beaba1|273","BBA_00273"
806966,810430,"Beaba1|274","BBA_00274"
810842,811246,"Beaba1|275","BBA_00275"
811591,812856,"Beaba1|276","BBA_00276"
815717,819246,"Beaba1|277","BBA_00277"
819973,820799,"Beaba1|278","BBA_00278"
821016,822034,"Beaba1|279","BBA_00279"
823466,824872,"Beaba1|280","BBA_00280"
825514,826398,"Beaba1|281","BBA_00281"
826591,828407,"Beaba1|282","BBA_00282"
829377,831000,"Beaba1|283","BBA_00283"
832023,832736,"Beaba1|284","BBA_00284"
833896,834142,"Beaba1|285","BBA_00285"
834403,835732,"Beaba1|286","BBA_00286"
836132,838997,"Beaba1|287","BBA_00287"
839312,839726,"Beaba1|288","BBA_00288"
843527,846000,"Beaba1|289","BBA_00289"
846974,849109,"Beaba1|290","BBA_00290"
853411,855546,"Beaba1|291","BBA_00291"
863592,869210,"Beaba1|292","BBA_00292"
869438,870574,"Beaba1|293","BBA_00293"
870932,875887,"Beaba1|294","BBA_00294"
876655,878012,"Beaba1|295","BBA_00295"
878761,880143,"Beaba1|296","BBA_00296"
887187,891663,"Beaba1|297","BBA_00297"
892853,893810,"Beaba1|298","BBA_00298"
894207,895565,"Beaba1|299","BBA_00299"
899924,902686,"Beaba1|300","BBA_00300"
904397,907249,"Beaba1|301","BBA_00301"
909286,911808,"Beaba1|302","BBA_00302"
917512,918763,"Beaba1|303","BBA_00303"
920732,921447,"Beaba1|304","BBA_00304"
922433,924475,"Beaba1|305","BBA_00305"
925317,927512,"Beaba1|306","BBA_00306"
930066,931759,"Beaba1|307","BBA_00307"
932205,934144,"Beaba1|308","BBA_00308"
934776,936254,"Beaba1|309","BBA_00309"
936564,937511,"Beaba1|310","BBA_00310"
939758,941319,"Beaba1|311","BBA_00311"
941628,944535,"Beaba1|312","BBA_00312"
944941,946733,"Beaba1|313","BBA_00313"
947780,951228,"Beaba1|314","BBA_00314"
953412,955702,"Beaba1|315","BBA_00315"
956377,959047,"Beaba1|316","BBA_00316"
959961,960722,"Beaba1|317","BBA_00317"
961148,962933,"Beaba1|318","BBA_00318"
964885,966143,"Beaba1|319","BBA_00319"
966653,969260,"Beaba1|320","BBA_00320"
969956,971169,"Beaba1|321","BBA_00321"
971914,972768,"Beaba1|322","BBA_00322"
976859,978710,"Beaba1|323","BBA_00323"
979068,979963,"Beaba1|324","BBA_00324"
981296,981669,"Beaba1|325","BBA_00325"
982315,984540,"Beaba1|326","BBA_00326"
990382,992014,"Beaba1|327","BBA_00327"
993318,997355,"Beaba1|328","BBA_00328"
1001463,1002385,"Beaba1|329","BBA_00329"
1002609,1004409,"Beaba1|330","BBA_00330"
1006086,1007028,"Beaba1|331","BBA_00331"
1007290,1008498,"Beaba1|332","BBA_00332"
1009277,1010971,"Beaba1|333","BBA_00333"
1015404,1016414,"Beaba1|334","BBA_00334"
1018527,1019570,"Beaba1|335","BBA_00335"
1020086,1023748,"Beaba1|336","BBA_00336"
1026465,1026715,"Beaba1|337","BBA_00337"
1029235,1030462,"Beaba1|338","BBA_00338"
1031139,1032851,"Beaba1|339","BBA_00339"
1033381,1033781,"Beaba1|340","BBA_00340"
1034496,1035410,"Beaba1|341","BBA_00341"
1037150,1038239,"Beaba1|342","BBA_00342"
1039177,1040509,"Beaba1|343","BBA_00343"
1041629,1043735,"Beaba1|344","BBA_00344"
1044040,1045421,"Beaba1|345","BBA_00345"
1047005,1048379,"Beaba1|346","BBA_00346"
1048794,1050290,"Beaba1|347","BBA_00347"
1051469,1052507,"Beaba1|348","BBA_00348"
1053472,1054923,"Beaba1|349","BBA_00349"
1055448,1056127,"Beaba1|350","BBA_00350"
1056464,1057838,"Beaba1|351","BBA_00351"
1058862,1059788,"Beaba1|352","BBA_00352"
1060696,1062809,"Beaba1|353","BBA_00353"
1063771,1064451,"Beaba1|354","BBA_00354"
1064927,1066375,"Beaba1|355","BBA_00355"
1066393,1068221,"Beaba1|356","BBA_00356"
1068983,1071043,"Beaba1|357","BBA_00357"
1071787,1087440,"Beaba1|358","BBA_00358"
1089378,1091380,"Beaba1|359","BBA_00359"
1097730,1100312,"Beaba1|360","BBA_00360"
1100722,1101171,"Beaba1|361","BBA_00361"
1102329,1103240,"Beaba1|362","BBA_00362"
1108027,1108647,"Beaba1|363","BBA_00363"
1108814,1110832,"Beaba1|364","BBA_00364"
1112018,1117658,"Beaba1|365","BBA_00365"
1119866,1124275,"Beaba1|366","BBA_00366"
1124521,1126176,"Beaba1|367","BBA_00367"
1127339,1128385,"Beaba1|368","BBA_00368"
1129569,1131160,"Beaba1|369","BBA_00369"
1134163,1135457,"Beaba1|370","BBA_00370"
1135974,1137194,"Beaba1|371","BBA_00371"
1138960,1140071,"Beaba1|372","BBA_00372"
1140399,1141914,"Beaba1|373","BBA_00373"
1142634,1144289,"Beaba1|374","BBA_00374"
1144818,1148271,"Beaba1|375","BBA_00375"
1148513,1149162,"Beaba1|376","BBA_00376"
1150274,1151019,"Beaba1|377","BBA_00377"
1152335,1153416,"Beaba1|378","BBA_00378"
1153672,1154436,"Beaba1|379","BBA_00379"
1155131,1157002,"Beaba1|380","BBA_00380"
1160642,1163421,"Beaba1|381","BBA_00381"
1164025,1164948,"Beaba1|382","BBA_00382"
1165629,1167674,"Beaba1|383","BBA_00383"
1172357,1173685,"Beaba1|384","BBA_00384"
1174171,1175125,"Beaba1|385","BBA_00385"
1175968,1176802,"Beaba1|386","BBA_00386"
1184394,1185083,"Beaba1|387","BBA_00387"
1186723,1190481,"Beaba1|388","BBA_00388"
1191030,1192448,"Beaba1|389","BBA_00389"
1193529,1195993,"Beaba1|390","BBA_00390"
1201832,1203745,"Beaba1|391","BBA_00391"
1204707,1207982,"Beaba1|392","BBA_00392"
1208607,1208945,"Beaba1|393","BBA_00393"
1210124,1211664,"Beaba1|394","BBA_00394"
1212088,1213250,"Beaba1|395","BBA_00395"
1215305,1215974,"Beaba1|396","BBA_00396"
1216343,1218059,"Beaba1|397","BBA_00397"
1222118,1227271,"Beaba1|398","BBA_00398"
1228523,1230188,"Beaba1|399","BBA_00399"
1230585,1231303,"Beaba1|400","BBA_00400"
1231497,1232044,"Beaba1|401","BBA_00401"
1232486,1233163,"Beaba1|402","BBA_00402"
1233670,1234647,"Beaba1|403","BBA_00403"
1235229,1237046,"Beaba1|404","BBA_00404"
1238043,1239106,"Beaba1|405","BBA_00405"
1240659,1241631,"Beaba1|406","BBA_00406"
1242362,1243660,"Beaba1|407","BBA_00407"
1244022,1246037,"Beaba1|408","BBA_00408"
1247117,1247549,"Beaba1|409","BBA_00409"
1247896,1250052,"Beaba1|410","BBA_00410"
1251177,1252643,"Beaba1|411","BBA_00411"
1252966,1254914,"Beaba1|412","BBA_00412"
1255769,1256467,"Beaba1|413","BBA_00413"
1256981,1259013,"Beaba1|414","BBA_00414"
1259736,1261781,"Beaba1|415","BBA_00415"
1262974,1263761,"Beaba1|416","BBA_00416"
1264397,1265238,"Beaba1|417","BBA_00417"
1280776,1282137,"Beaba1|418","BBA_00418"
1283147,1283409,"Beaba1|419","BBA_00419"
1284088,1285482,"Beaba1|420","BBA_00420"
1290018,1292895,"Beaba1|421","BBA_00421"
1293774,1295983,"Beaba1|422","BBA_00422"
1296627,1298625,"Beaba1|423","BBA_00423"
1300064,1301324,"Beaba1|424","BBA_00424"
1302058,1304103,"Beaba1|425","BBA_00425"
1304452,1307813,"Beaba1|426","BBA_00426"
1308824,1309455,"Beaba1|427","BBA_00427"
1310319,1311657,"Beaba1|428","BBA_00428"
1312023,1313348,"Beaba1|429","BBA_00429"
1313801,1314340,"Beaba1|430","BBA_00430"
1314498,1315356,"Beaba1|431","BBA_00431"
1316267,1318648,"Beaba1|432","BBA_00432"
1322312,1325386,"Beaba1|433","BBA_00433"
1326207,1328321,"Beaba1|434","BBA_00434"
1328694,1330385,"Beaba1|435","BBA_00435"
1330510,1331443,"Beaba1|436","BBA_00436"
1331771,1334683,"Beaba1|437","BBA_00437"
1335150,1335752,"Beaba1|438","BBA_00438"
1335920,1336777,"Beaba1|439","BBA_00439"
1337472,1338990,"Beaba1|440","BBA_00440"
1339624,1339944,"Beaba1|441","BBA_00441"
1341211,1341762,"Beaba1|442","BBA_00442"
1347118,1348458,"Beaba1|443","BBA_00443"
1351035,1354397,"Beaba1|444","BBA_00444"
1355244,1356056,"Beaba1|445","BBA_00445"
1356403,1357155,"Beaba1|446","BBA_00446"
1357647,1358615,"Beaba1|447","BBA_00447"
1358777,1359283,"Beaba1|448","BBA_00448"
1361618,1363162,"Beaba1|449","BBA_00449"
1364260,1365405,"Beaba1|450","BBA_00450"
1365443,1367304,"Beaba1|451","BBA_00451"
1368240,1369786,"Beaba1|452","BBA_00452"
1371779,1375291,"Beaba1|453","BBA_00453"
1376164,1377172,"Beaba1|454","BBA_00454"
1380193,1380999,"Beaba1|455","BBA_00455"
1381810,1385109,"Beaba1|456","BBA_00456"
1388610,1392187,"Beaba1|457","BBA_00457"
1392696,1392979,"Beaba1|458","BBA_00458"
1394837,1397392,"Beaba1|459","BBA_00459"
1397728,1398876,"Beaba1|460","BBA_00460"
1400136,1405034,"Beaba1|461","BBA_00461"
1410796,1412368,"Beaba1|462","BBA_00462"
1412935,1413330,"Beaba1|463","BBA_00463"
1415018,1416715,"Beaba1|464","BBA_00464"
1418730,1420640,"Beaba1|465","BBA_00465"
1420789,1421457,"Beaba1|466","BBA_00466"
1421980,1423846,"Beaba1|467","BBA_00467"
1425748,1428141,"Beaba1|468","BBA_00468"
1428496,1430736,"Beaba1|469","BBA_00469"
1431884,1433371,"Beaba1|470","BBA_00470"
1433850,1434826,"Beaba1|471","BBA_00471"
1435857,1437324,"Beaba1|472","BBA_00472"
1437901,1439591,"Beaba1|473","BBA_00473"
1442067,1442939,"Beaba1|474","BBA_00474"
1442996,1444179,"Beaba1|475","BBA_00475"
1445336,1447154,"Beaba1|476","BBA_00476"
1452114,1453324,"Beaba1|477","BBA_00477"
1453856,1455256,"Beaba1|478","BBA_00478"
1456377,1458506,"Beaba1|479","BBA_00479"
1460053,1460914,"Beaba1|480","BBA_00480"
1461919,1462718,"Beaba1|481","BBA_00481"
1463189,1465576,"Beaba1|482","BBA_00482"
1466438,1467256,"Beaba1|483","BBA_00483"
1469300,1470938,"Beaba1|484","BBA_00484"
1471287,1473354,"Beaba1|485","BBA_00485"
1474564,1475617,"Beaba1|486","BBA_00486"
1476030,1476743,"Beaba1|487","BBA_00487"
1478299,1479656,"Beaba1|488","BBA_00488"
1480301,1482774,"Beaba1|489","BBA_00489"
1483195,1483705,"Beaba1|490","BBA_00490"
1483875,1484468,"Beaba1|491","BBA_00491"
1485493,1486254,"Beaba1|492","BBA_00492"
1486986,1487792,"Beaba1|493","BBA_00493"
1491044,1492639,"Beaba1|494","BBA_00494"
1493479,1494462,"Beaba1|495","BBA_00495"
1500450,1501487,"Beaba1|496","BBA_00496"
1501993,1507905,"Beaba1|497","BBA_00497"
1508279,1509285,"Beaba1|498","BBA_00498"
1509843,1512648,"Beaba1|499","BBA_00499"
1516166,1517118,"Beaba1|500","BBA_00500"
1517330,1519324,"Beaba1|501","BBA_00501"
1520335,1521333,"Beaba1|502","BBA_00502"
1524124,1525279,"Beaba1|503","BBA_00503"
1525674,1527321,"Beaba1|504","BBA_00504"
1528702,1530565,"Beaba1|505","BBA_00505"
1531424,1533969,"Beaba1|506","BBA_00506"
1535173,1535873,"Beaba1|507","BBA_00507"
1536528,1537961,"Beaba1|508","BBA_00508"
1539015,1540475,"Beaba1|509","BBA_00509"
1546675,1548840,"Beaba1|510","BBA_00510"
1549366,1551812,"Beaba1|511","BBA_00511"
1555715,1558029,"Beaba1|512","BBA_00512"
1562459,1562938,"Beaba1|513","BBA_00513"
1567011,1569005,"Beaba1|514","BBA_00514"
1571824,1573298,"Beaba1|515","BBA_00515"
1573698,1574990,"Beaba1|516","BBA_00516"
1575696,1577549,"Beaba1|517","BBA_00517"
1578584,1580437,"Beaba1|518","BBA_00518"
1581259,1583139,"Beaba1|519","BBA_00519"
1587218,1590308,"Beaba1|520","BBA_00520"
1594473,1596028,"Beaba1|521","BBA_00521"
1597001,1600134,"Beaba1|522","BBA_00522"
1602411,1604388,"Beaba1|523","BBA_00523"
1604889,1607085,"Beaba1|524","BBA_00524"
1610433,1611463,"Beaba1|525","BBA_00525"
1612057,1612720,"Beaba1|526","BBA_00526"
1613436,1614047,"Beaba1|527","BBA_00527"
1614814,1615910,"Beaba1|528","BBA_00528"
1620249,1622141,"Beaba1|529","BBA_00529"
1626874,1628203,"Beaba1|530","BBA_00530"
1631091,1631426,"Beaba1|531","BBA_00531"
1631998,1633200,"Beaba1|532","BBA_00532"
1634126,1636028,"Beaba1|533","BBA_00533"
1636267,1636863,"Beaba1|534","BBA_00534"
1637166,1640372,"Beaba1|535","BBA_00535"
1640949,1642214,"Beaba1|536","BBA_00536"
1642549,1644509,"Beaba1|537","BBA_00537"
1645748,1647625,"Beaba1|538","BBA_00538"
1648125,1648835,"Beaba1|539","BBA_00539"
1650633,1652311,"Beaba1|540","BBA_00540"
1655353,1656675,"Beaba1|541","BBA_00541"
1656916,1657298,"Beaba1|542","BBA_00542"
1660265,1661992,"Beaba1|543","BBA_00543"
1662503,1664708,"Beaba1|544","BBA_00544"
1667781,1669558,"Beaba1|545","BBA_00545"
1670351,1672704,"Beaba1|546","BBA_00546"
1673165,1674478,"Beaba1|547","BBA_00547"
1677615,1681424,"Beaba1|548","BBA_00548"
1682261,1686520,"Beaba1|549","BBA_00549"
1687866,1688553,"Beaba1|550","BBA_00550"
1688803,1690683,"Beaba1|551","BBA_00551"
1693400,1694660,"Beaba1|552","BBA_00552"
1696005,1697576,"Beaba1|553","BBA_00553"
1697707,1698419,"Beaba1|554","BBA_00554"
1703381,1705168,"Beaba1|555","BBA_00555"
1705566,1706930,"Beaba1|556","BBA_00556"
1707503,1708192,"Beaba1|557","BBA_00557"
1709221,1709977,"Beaba1|558","BBA_00558"
1711978,1713768,"Beaba1|559","BBA_00559"
1714278,1717762,"Beaba1|560","BBA_00560"
1719052,1721759,"Beaba1|561","BBA_00561"
1722226,1724078,"Beaba1|562","BBA_00562"
1725062,1725445,"Beaba1|563","BBA_00563"
1726207,1727193,"Beaba1|564","BBA_00564"
1729035,1730469,"Beaba1|565","BBA_00565"
1730960,1731715,"Beaba1|566","BBA_00566"
1732638,1734546,"Beaba1|567","BBA_00567"
1737880,1740071,"Beaba1|568","BBA_00568"
1740516,1742408,"Beaba1|569","BBA_00569"
1749262,1751085,"Beaba1|570","BBA_00570"
1751228,1753391,"Beaba1|571","BBA_00571"
1757719,1758191,"Beaba1|572","BBA_00572"
1758628,1759233,"Beaba1|573","BBA_00573"
1761818,1765268,"Beaba1|574","BBA_00574"
1765741,1768371,"Beaba1|575","BBA_00575"
1771281,1773212,"Beaba1|576","BBA_00576"
1773680,1777057,"Beaba1|577","BBA_00577"
1778042,1779339,"Beaba1|578","BBA_00578"
1779529,1781028,"Beaba1|579","BBA_00579"
1781347,1785493,"Beaba1|580","BBA_00580"
1788021,1788338,"Beaba1|581","BBA_00581"
1792182,1793219,"Beaba1|582","BBA_00582"
1793438,1794758,"Beaba1|583","BBA_00583"
