id	proteinId	clusterId	secmet_type
132	Beaba1|6997	20	NRPS
133	Beaba1|7334	21	Decorating
134	Beaba1|7335	21	Decorating
135	Beaba1|7336	21	Decorating
136	Beaba1|7337	21	Decorating
137	Beaba1|7338	21	PKS-NRPS hybrid
138	Beaba1|7339	21	Decorating
139	Beaba1|7340	21	Decorating
140	Beaba1|7341	21	Decorating
141	Beaba1|7379	22	NRPS-like
142	Beaba1|7380	22	Decorating
143	Beaba1|7381	22	
144	Beaba1|7382	22	
145	Beaba1|7383	22	
146	Beaba1|7384	22	
147	Beaba1|7385	22	Decorating
148	Beaba1|7420	23	PKS
149	Beaba1|7548	24	NRPS
150	Beaba1|7549	24	Decorating
151	Beaba1|7550	24	
152	Beaba1|7551	24	Decorating
153	Beaba1|7552	24	
154	Beaba1|7553	24	
155	Beaba1|7554	24	Decorating
156	Beaba1|7588	25	Decorating
157	Beaba1|7589	25	NRPS
158	Beaba1|7590	25	Decorating
159	Beaba1|7591	25	
160	Beaba1|7592	25	Decorating
161	Beaba1|7611	26	NRPS-like
162	Beaba1|7612	26	Decorating
163	Beaba1|7613	26	Decorating
164	Beaba1|8179	27	PKS
165	Beaba1|8180	27	Decorating
166	Beaba1|8181	27	Decorating
167	Beaba1|8182	27	Decorating
168	Beaba1|8183	27	
169	Beaba1|8184	27	Decorating
170	Beaba1|8217	28	Decorating
171	Beaba1|8218	28	Decorating
172	Beaba1|8219	28	PKS
173	Beaba1|8220	28	Decorating
174	Beaba1|8221	28	
175	Beaba1|8222	28	NRPS
176	Beaba1|8241	29	Decorating
177	Beaba1|8242	29	
178	Beaba1|8243	29	
179	Beaba1|8244	29	
180	Beaba1|8245	29	
181	Beaba1|8246	29	NRPS-like
182	Beaba1|8247	29	
183	Beaba1|8248	29	
184	Beaba1|8249	29	Decorating
185	Beaba1|8280	30	NRPS-like
186	Beaba1|8424	31	NRPS
187	Beaba1|8425	31	Decorating
188	Beaba1|8426	31	Decorating
189	Beaba1|8427	31	
190	Beaba1|8428	31	
191	Beaba1|8429	31	
192	Beaba1|8430	31	
193	Beaba1|8431	31	Decorating
194	Beaba1|8697	32	Decorating
195	Beaba1|8698	32	Decorating
196	Beaba1|8699	32	NRPS-like
197	Beaba1|8700	32	
198	Beaba1|8701	32	
199	Beaba1|8702	32	
200	Beaba1|8703	32	
201	Beaba1|8704	32	
202	Beaba1|8705	32	Decorating
203	Beaba1|8706	32	Decorating
204	Beaba1|8707	32	Decorating
205	Beaba1|8708	32	Decorating
206	Beaba1|8777	33	Decorating
207	Beaba1|8778	33	
208	Beaba1|8779	33	Decorating
209	Beaba1|8780	33	Decorating
210	Beaba1|8781	33	
211	Beaba1|8782	33	
212	Beaba1|8783	33	Terpene
213	Beaba1|8784	33	Decorating
214	Beaba1|8785	33	Decorating
215	Beaba1|8786	33	Decorating
216	Beaba1|8787	33	Decorating
217	Beaba1|8788	33	Decorating
218	Beaba1|8789	33	
219	Beaba1|8790	33	Decorating
220	Beaba1|9118	34	Decorating
221	Beaba1|9119	34	
222	Beaba1|9120	34	
223	Beaba1|9121	34	
224	Beaba1|9122	34	
225	Beaba1|9123	34	Decorating
226	Beaba1|9124	34	
227	Beaba1|9125	34	Decorating
228	Beaba1|9126	34	
229	Beaba1|9127	34	NRPS-like
230	Beaba1|9720	35	Decorating
231	Beaba1|9721	35	
232	Beaba1|9722	35	
233	Beaba1|9723	35	
234	Beaba1|9724	35	
235	Beaba1|9725	35	
236	Beaba1|9726	35	
237	Beaba1|9727	35	NRPS
238	Beaba1|9728	35	
239	Beaba1|9729	35	
240	Beaba1|9730	35	
241	Beaba1|9731	35	
242	Beaba1|9732	35	Decorating
243	Beaba1|9733	35	Decorating
244	Beaba1|9744	36	Decorating
245	Beaba1|9745	36	PKS
246	Beaba1|9746	36	Decorating
247	Beaba1|9856	37	PKS-NRPS hybrid
248	Beaba1|9857	37	
249	Beaba1|9858	37	Decorating
250	Beaba1|9859	37	
251	Beaba1|9860	37	
252	Beaba1|9861	37	
253	Beaba1|9862	37	Decorating
254	Beaba1|10105	38	NRPS
255	Beaba1|10302	39	PKS
