id	proteinId	TF
258	Beaba1|4652	Fungal Specific TF
259	Beaba1|8785	Fungal Specific TF
260	Beaba1|880	Fungal Specific TF
261	Beaba1|882	C2H2 zinc finger
262	Beaba1|8843	Fungal Specific TF
263	Beaba1|886	Fungal Specific TF
264	Beaba1|2935	Fungal Specific TF
265	Beaba1|2958	Centromere protein B, DNA-binding region
266	Beaba1|9254	Fungal Specific TF
267	Beaba1|9298	Fungal Specific TF
268	Beaba1|9335	Fungal Specific TF
269	Beaba1|9337	Fungal Specific TF
270	Beaba1|10233	GATA type zinc finger
271	Beaba1|10247	HMG
272	Beaba1|10253	GATA type zinc finger
273	Beaba1|10254	Fungal Specific TF
274	Beaba1|10268	Fungal Specific TF
275	Beaba1|10271	GATA type zinc finger
276	Beaba1|3954	Fungal Specific TF
277	Beaba1|3955	Fungal Specific TF
278	Beaba1|6675	Fungal Specific TF
279	Beaba1|6721	bZIP
280	Beaba1|5443	HMG
281	Beaba1|5464	Fungal Specific TF
282	Beaba1|5485	Helix-loop-helix
283	Beaba1|1229	C2H2 zinc finger
284	Beaba1|1284	Grainyhead/CP2
285	Beaba1|1304	C2H2 zinc finger
286	Beaba1|9440	C2H2 zinc finger
287	Beaba1|9441	GATA type zinc finger
288	Beaba1|9506	Fungal Specific TF
289	Beaba1|9512	Fungal Specific TF
290	Beaba1|2477	Histone-like TF
291	Beaba1|2505	Homeodomain
292	Beaba1|2507	Fungal Specific TF
293	Beaba1|4319	Fungal Specific TF
294	Beaba1|4322	Fungal Specific TF
295	Beaba1|4375	Fungal Specific TF
296	Beaba1|7669	Fungal Specific TF
297	Beaba1|7683	Fungal Specific TF
298	Beaba1|7689	Helix-turn-helix
299	Beaba1|7689	Centromere protein B, DNA-binding region
300	Beaba1|770	Fungal Specific TF
301	Beaba1|7733	HMG
302	Beaba1|3452	Fungal Specific TF
303	Beaba1|3464	Fungal Specific TF
304	Beaba1|3467	Fungal Specific TF
305	Beaba1|3469	C2H2 zinc finger
306	Beaba1|4491	Zinc finger, CCHC-type
307	Beaba1|450	Fungal Specific TF
308	Beaba1|4503	Fungal Specific TF
309	Beaba1|4517	Fungal Specific TF
310	Beaba1|4866	C2H2 zinc finger
311	Beaba1|488	bZIP
312	Beaba1|4937	Fungal Specific TF
313	Beaba1|105	Fungal Specific TF
314	Beaba1|1078	C2H2 zinc finger
315	Beaba1|1078	STE like TF
316	Beaba1|1101	Fungal Specific TF
317	Beaba1|1102	Fungal Specific TF
318	Beaba1|1117	Fungal Specific TF
319	Beaba1|7592	Fungal Specific TF
320	Beaba1|7618	Fungal Specific TF
321	Beaba1|7636	Fungal Specific TF
322	Beaba1|10035	Histone-like TF
323	Beaba1|10036	C2H2 zinc finger
324	Beaba1|10042	Fungal Specific TF
325	Beaba1|10047	Fungal Specific TF
326	Beaba1|10048	Fungal Specific TF
327	Beaba1|10081	Helix-turn-helix
328	Beaba1|1701	Fungal Specific TF
329	Beaba1|1710	Fungal Specific TF
330	Beaba1|1719	Homeodomain
331	Beaba1|1719	Centromere protein B, DNA-binding region
332	Beaba1|1720	GATA type zinc finger
333	Beaba1|1514	Fungal Specific TF
334	Beaba1|1545	AT-rich interaction region
335	Beaba1|1583	C2H2 zinc finger
336	Beaba1|9189	Fungal Specific TF
337	Beaba1|3399	Fungal Specific TF
338	Beaba1|3405	Fungal Specific TF
339	Beaba1|3449	Fungal Specific TF
340	Beaba1|3450	Fungal Specific TF
341	Beaba1|5290	Fungal Specific TF
342	Beaba1|5298	Helix-turn-helix
343	Beaba1|5317	Fungal Specific TF
344	Beaba1|273	Transcription factor TFIIS
345	Beaba1|2774	Fungal Specific TF
346	Beaba1|280	Fungal Specific TF
347	Beaba1|6445	Fungal Specific TF
348	Beaba1|6451	Fungal Specific TF
349	Beaba1|5513	GCN5-like 1
350	Beaba1|5545	Fungal Specific TF
351	Beaba1|5559	UAF complex subunit Rrn10
352	Beaba1|9836	Fungal Specific TF
353	Beaba1|984	C2H2 zinc finger
354	Beaba1|984	Fungal Specific TF
355	Beaba1|9853	SGT1
356	Beaba1|9862	Fungal Specific TF
357	Beaba1|9870	Zinc finger, CCHC-type
358	Beaba1|2802	Fungal Specific TF
359	Beaba1|2826	Fungal Specific TF
360	Beaba1|2856	CCR4-Not complex component, Not1
361	Beaba1|2871	Fungal Specific TF
362	Beaba1|2882	Zinc finger, CCHC-type
363	Beaba1|9347	Fungal Specific TF
364	Beaba1|9351	C2H2 zinc finger
365	Beaba1|9361	Fungal Specific TF
366	Beaba1|9370	Fungal Specific TF
367	Beaba1|9380	Fungal Specific TF
368	Beaba1|9412	Fungal Specific TF
369	Beaba1|9436	C2H2 zinc finger
370	Beaba1|9436	Fungal Specific TF
371	Beaba1|844	Fungal Specific TF
372	Beaba1|8455	Zinc finger, CCHC-type
373	Beaba1|8458	Bacterial regulatory protein, LuxR
374	Beaba1|8470	Fungal Specific TF
375	Beaba1|72	Fungal Specific TF
376	Beaba1|7276	Fungal Specific TF
377	Beaba1|4024	Fungal Specific TF
378	Beaba1|4034	Fungal Specific TF
379	Beaba1|4037	Fungal Specific TF
380	Beaba1|4086	Fungal Specific TF
381	Beaba1|8959	Fungal Specific TF
382	Beaba1|8967	Fungal Specific TF
383	Beaba1|4760	Fungal Specific TF
384	Beaba1|4773	Fungal Specific TF
385	Beaba1|4784	Fungal Specific TF
386	Beaba1|4812	Zinc finger, CCHC-type
387	Beaba1|4813	bZIP
388	Beaba1|4837	Fungal Specific TF
389	Beaba1|2258	Fungal Specific TF
390	Beaba1|2263	Histone-like TF
391	Beaba1|2268	Histone-like TF
392	Beaba1|2286	Homeodomain
393	Beaba1|2288	Homeodomain
394	Beaba1|2289	Fungal Specific TF
395	Beaba1|2324	Zinc finger, PARP-type
396	Beaba1|2093	Fungal Specific TF
397	Beaba1|2099	Helix-loop-helix
398	Beaba1|214	Fungal Specific TF
399	Beaba1|5745	Helix-turn-helix
400	Beaba1|5745	Centromere protein B, DNA-binding region
401	Beaba1|5763	Fungal Specific TF
402	Beaba1|9917	Zinc finger, CCHC-type
403	Beaba1|9942	C2H2 zinc finger
404	Beaba1|9944	Histone-like TF
405	Beaba1|9945	Histone-like TF
406	Beaba1|9973	Histone-like TF
407	Beaba1|9981	C2H2 zinc finger
408	Beaba1|9992	Fungal Specific TF
409	Beaba1|4109	Zinc finger, CCHC-type
410	Beaba1|4116	Forkhead
411	Beaba1|4124	Fungal Specific TF
412	Beaba1|4151	Fungal Specific TF
413	Beaba1|4183	Fungal Specific TF
414	Beaba1|9723	Fungal Specific TF
415	Beaba1|9764	Homeodomain
416	Beaba1|9797	Fungal Specific TF
