proteinId	Cmax	Cmax_pos	Ymax	Ymax_pos	Smax	Smax_pos	Smean	D	signal_predicted	Dmaxcut	networks_used	SSP
Beaba1|10075	0.111	50	0.112	50	0.189	11	0.111	0.112	N	0.45	SignalP-noTM	N
Beaba1|10076	0.145	31	0.145	21	0.273	3	0.158	0.152	N	0.45	SignalP-noTM	N
Beaba1|10077	0.109	64	0.103	64	0.108	56	0.094	0.098	N	0.45	SignalP-noTM	N
Beaba1|10078	0.578	18	0.73	18	0.963	11	0.914	0.829	Y	0.45	SignalP-noTM	Y
Beaba1|10079	0.112	47	0.115	47	0.138	41	0.106	0.11	N	0.45	SignalP-noTM	N
Beaba1|1008	0.112	65	0.105	65	0.115	54	0.097	0.101	N	0.45	SignalP-noTM	N
Beaba1|10080	0.123	27	0.138	11	0.222	1	0.127	0.132	N	0.45	SignalP-noTM	N
Beaba1|10081	0.118	24	0.108	11	0.125	1	0.098	0.103	N	0.45	SignalP-noTM	N
Beaba1|10082	0.163	62	0.128	62	0.116	27	0.097	0.111	N	0.45	SignalP-noTM	N
Beaba1|10083	0.135	29	0.115	29	0.131	28	0.099	0.107	N	0.45	SignalP-noTM	N
Beaba1|10084	0.138	45	0.135	15	0.174	22	0.139	0.137	N	0.45	SignalP-noTM	N
Beaba1|10085	0.112	63	0.114	11	0.139	12	0.117	0.116	N	0.45	SignalP-noTM	N
Beaba1|10086	0.12	23	0.131	23	0.203	21	0.144	0.138	N	0.45	SignalP-noTM	N
Beaba1|10087	0.109	53	0.11	11	0.131	1	0.101	0.105	N	0.45	SignalP-noTM	N
Beaba1|10088	0.11	42	0.105	22	0.143	13	0.103	0.104	N	0.45	SignalP-noTM	N
Beaba1|10089	0.115	28	0.12	28	0.233	10	0.125	0.123	N	0.45	SignalP-noTM	N
Beaba1|1009	0.117	32	0.115	11	0.183	4	0.136	0.126	N	0.45	SignalP-noTM	N
Beaba1|10090	0.113	25	0.11	25	0.133	23	0.108	0.109	N	0.45	SignalP-noTM	N
Beaba1|10091	0.112	24	0.115	11	0.154	1	0.104	0.109	N	0.45	SignalP-noTM	N
Beaba1|10092	0.22	44	0.158	44	0.171	3	0.115	0.135	N	0.45	SignalP-noTM	N
Beaba1|10093	0.719	19	0.804	19	0.939	12	0.899	0.855	Y	0.45	SignalP-noTM	N
Beaba1|10094	0.113	64	0.106	30	0.123	19	0.101	0.103	N	0.45	SignalP-noTM	N
Beaba1|10095	0.108	47	0.157	11	0.277	1	0.189	0.174	N	0.45	SignalP-noTM	N
Beaba1|10096	0.114	47	0.109	47	0.12	31	0.094	0.101	N	0.45	SignalP-noTM	N
Beaba1|10097	0.208	34	0.197	34	0.383	17	0.186	0.191	N	0.45	SignalP-noTM	N
Beaba1|10098	0.11	24	0.108	13	0.12	2	0.108	0.108	N	0.45	SignalP-noTM	N
Beaba1|10099	0.11	67	0.105	67	0.116	57	0.095	0.1	N	0.45	SignalP-noTM	N
Beaba1|101	0.205	22	0.269	16	0.777	1	0.498	0.36	N	0.5	SignalP-TM	N
Beaba1|1010	0.162	23	0.142	23	0.173	1	0.124	0.132	N	0.45	SignalP-noTM	N
Beaba1|10100	0.108	53	0.107	33	0.121	12	0.103	0.105	N	0.45	SignalP-noTM	N
Beaba1|10101	0.179	29	0.135	29	0.191	38	0.11	0.122	N	0.45	SignalP-noTM	N
Beaba1|10102	0.109	70	0.111	50	0.138	40	0.104	0.107	N	0.45	SignalP-noTM	N
Beaba1|10103	0.18	51	0.137	12	0.209	1	0.149	0.144	N	0.45	SignalP-noTM	N
Beaba1|10104	0.126	62	0.113	62	0.114	54	0.097	0.104	N	0.45	SignalP-noTM	N
Beaba1|10105	0.11	61	0.106	48	0.117	39	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10106	0.108	24	0.104	14	0.109	1	0.096	0.1	N	0.45	SignalP-noTM	N
Beaba1|10107	0.112	32	0.105	48	0.111	41	0.098	0.101	N	0.45	SignalP-noTM	N
Beaba1|10108	0.109	23	0.104	23	0.118	2	0.099	0.101	N	0.45	SignalP-noTM	N
Beaba1|10109	0.162	46	0.126	46	0.13	3	0.102	0.113	N	0.45	SignalP-noTM	N
Beaba1|1011	0.343	16	0.231	16	0.213	11	0.152	0.188	N	0.45	SignalP-noTM	N
Beaba1|10110	0.116	28	0.105	63	0.119	24	0.097	0.101	N	0.45	SignalP-noTM	N
Beaba1|10111	0.271	26	0.496	26	0.964	15	0.909	0.719	Y	0.45	SignalP-noTM	N
Beaba1|10112	0.41	20	0.248	20	0.192	13	0.148	0.194	N	0.45	SignalP-noTM	N
Beaba1|10113	0.609	19	0.71	19	0.89	18	0.834	0.777	Y	0.45	SignalP-noTM	Y
Beaba1|10114	0.108	19	0.107	11	0.121	13	0.099	0.103	N	0.45	SignalP-noTM	N
Beaba1|10115	0.157	50	0.11	37	0.143	31	0.101	0.107	N	0.5	SignalP-TM	N
Beaba1|10116	0.11	45	0.114	45	0.136	1	0.108	0.111	N	0.45	SignalP-noTM	N
Beaba1|10117	0.143	25	0.14	17	0.21	2	0.153	0.147	N	0.45	SignalP-noTM	N
Beaba1|10118	0.162	25	0.165	25	0.221	12	0.17	0.168	N	0.45	SignalP-noTM	N
Beaba1|10119	0.118	27	0.11	11	0.13	1	0.107	0.108	N	0.45	SignalP-noTM	N
Beaba1|1012	0.132	55	0.14	14	0.195	1	0.158	0.15	N	0.45	SignalP-noTM	N
Beaba1|10120	0.22	20	0.158	20	0.138	5	0.112	0.133	N	0.45	SignalP-noTM	N
Beaba1|10121	0.375	44	0.189	11	0.45	2	0.319	0.241	N	0.5	SignalP-TM	N
Beaba1|10122	0.16	36	0.185	36	0.537	32	0.197	0.191	N	0.45	SignalP-noTM	N
Beaba1|10123	0.857	23	0.908	23	0.988	7	0.962	0.937	Y	0.45	SignalP-noTM	N
Beaba1|10124	0.124	64	0.113	64	0.113	60	0.101	0.106	N	0.45	SignalP-noTM	N
Beaba1|10125	0.11	54	0.114	11	0.153	3	0.131	0.123	N	0.45	SignalP-noTM	N
Beaba1|10126	0.108	33	0.11	44	0.136	29	0.107	0.108	N	0.45	SignalP-noTM	N
Beaba1|10127	0.116	37	0.169	11	0.348	2	0.253	0.214	N	0.45	SignalP-noTM	N
Beaba1|10128	0.109	16	0.109	50	0.124	38	0.1	0.104	N	0.45	SignalP-noTM	N
Beaba1|10129	0.26	50	0.17	50	0.18	49	0.113	0.139	N	0.45	SignalP-noTM	N
Beaba1|1013	0.44	24	0.618	24	0.941	18	0.87	0.754	Y	0.45	SignalP-noTM	N
Beaba1|10130	0.111	31	0.12	23	0.172	12	0.133	0.127	N	0.45	SignalP-noTM	N
Beaba1|10131	0.117	27	0.122	14	0.182	12	0.139	0.131	N	0.45	SignalP-noTM	N
Beaba1|10132	0.166	21	0.147	21	0.228	20	0.133	0.139	N	0.45	SignalP-noTM	N
Beaba1|10133	0.246	29	0.159	29	0.136	3	0.106	0.13	N	0.45	SignalP-noTM	N
Beaba1|10134	0.146	50	0.124	50	0.152	13	0.107	0.115	N	0.45	SignalP-noTM	N
Beaba1|10135	0.516	17	0.687	17	0.955	5	0.929	0.817	Y	0.45	SignalP-noTM	Y
Beaba1|10136	0.39	20	0.48	20	0.755	2	0.574	0.531	Y	0.45	SignalP-noTM	N
Beaba1|10137	0.111	28	0.106	28	0.117	7	0.1	0.103	N	0.45	SignalP-noTM	N
Beaba1|10138	0.131	40	0.112	16	0.155	5	0.12	0.116	N	0.45	SignalP-noTM	N
Beaba1|10139	0.109	70	0.104	21	0.13	10	0.104	0.104	N	0.45	SignalP-noTM	N
Beaba1|1014	0.109	61	0.109	14	0.13	3	0.11	0.11	N	0.45	SignalP-noTM	N
Beaba1|10140	0.426	20	0.415	20	0.559	1	0.381	0.397	N	0.45	SignalP-noTM	N
Beaba1|10141	0.363	23	0.547	17	0.924	16	0.879	0.726	Y	0.45	SignalP-noTM	N
Beaba1|10142	0.333	21	0.355	21	0.541	18	0.379	0.368	N	0.45	SignalP-noTM	N
Beaba1|10143	0.115	19	0.163	19	0.315	2	0.226	0.197	N	0.45	SignalP-noTM	N
Beaba1|10144	0.197	42	0.166	42	0.288	41	0.124	0.143	N	0.45	SignalP-noTM	N
Beaba1|10145	0.11	46	0.105	39	0.113	1	0.098	0.101	N	0.45	SignalP-noTM	N
Beaba1|10146	0.123	27	0.138	11	0.222	1	0.127	0.132	N	0.45	SignalP-noTM	N
Beaba1|10147	0.109	29	0.109	40	0.128	23	0.1	0.104	N	0.45	SignalP-noTM	N
Beaba1|10148	0.331	32	0.209	32	0.177	31	0.135	0.179	N	0.5	SignalP-TM	N
Beaba1|10149	0.124	59	0.127	59	0.246	49	0.109	0.117	N	0.45	SignalP-noTM	N
Beaba1|1015	0.108	21	0.128	68	0.185	64	0.106	0.119	N	0.5	SignalP-TM	N
Beaba1|10150	0.111	65	0.107	35	0.122	13	0.105	0.106	N	0.45	SignalP-noTM	N
Beaba1|10151	0.108	47	0.104	13	0.136	11	0.106	0.105	N	0.45	SignalP-noTM	N
Beaba1|10152	0.124	59	0.127	59	0.227	49	0.114	0.12	N	0.45	SignalP-noTM	N
Beaba1|10153	0.11	45	0.11	45	0.129	38	0.103	0.106	N	0.45	SignalP-noTM	N
Beaba1|10154	0.15	41	0.124	41	0.147	11	0.106	0.114	N	0.45	SignalP-noTM	N
Beaba1|10155	0.133	21	0.126	21	0.15	1	0.116	0.121	N	0.45	SignalP-noTM	N
Beaba1|10156	0.439	21	0.545	21	0.764	12	0.668	0.611	Y	0.45	SignalP-noTM	N
Beaba1|10157	0.851	17	0.876	17	0.938	14	0.899	0.888	Y	0.45	SignalP-noTM	N
Beaba1|10158	0.11	49	0.114	11	0.139	1	0.11	0.112	N	0.45	SignalP-noTM	N
Beaba1|10159	0.418	22	0.565	22	0.878	4	0.763	0.672	Y	0.45	SignalP-noTM	Y
Beaba1|1016	0.651	17	0.787	17	0.981	11	0.954	0.877	Y	0.45	SignalP-noTM	Y
Beaba1|10160	0.12	12	0.124	12	0.141	11	0.123	0.124	N	0.45	SignalP-noTM	N
Beaba1|10161	0.12	50	0.108	50	0.119	22	0.097	0.102	N	0.45	SignalP-noTM	N
Beaba1|10162	0.504	25	0.503	25	0.704	4	0.514	0.509	Y	0.45	SignalP-noTM	Y
Beaba1|10163	0.177	19	0.298	17	0.605	1	0.488	0.4	N	0.45	SignalP-noTM	N
Beaba1|10164	0.11	42	0.114	21	0.15	40	0.118	0.116	N	0.45	SignalP-noTM	N
Beaba1|10165	0.109	44	0.11	11	0.139	7	0.115	0.113	N	0.45	SignalP-noTM	N
Beaba1|10166	0.108	11	0.111	11	0.132	6	0.117	0.114	N	0.45	SignalP-noTM	N
Beaba1|10167	0.111	56	0.107	12	0.123	5	0.106	0.107	N	0.45	SignalP-noTM	N
Beaba1|10168	0.223	58	0.156	58	0.134	8	0.111	0.132	N	0.45	SignalP-noTM	N
Beaba1|10169	0.189	66	0.137	66	0.2	1	0.098	0.116	N	0.45	SignalP-noTM	N
Beaba1|1017	0.521	23	0.708	23	0.987	16	0.963	0.846	Y	0.45	SignalP-noTM	N
Beaba1|10170	0.181	39	0.147	39	0.154	35	0.099	0.128	N	0.5	SignalP-TM	N
Beaba1|10171	0.117	34	0.11	34	0.136	31	0.104	0.107	N	0.45	SignalP-noTM	N
Beaba1|10172	0.124	24	0.128	11	0.196	1	0.123	0.125	N	0.45	SignalP-noTM	N
Beaba1|10173	0.116	35	0.109	35	0.121	12	0.101	0.105	N	0.45	SignalP-noTM	N
Beaba1|10174	0.118	31	0.119	12	0.198	32	0.116	0.117	N	0.45	SignalP-noTM	N
Beaba1|10175	0.159	31	0.125	31	0.142	69	0.105	0.117	N	0.5	SignalP-TM	N
Beaba1|10176	0.132	44	0.116	44	0.128	5	0.104	0.11	N	0.45	SignalP-noTM	N
Beaba1|10177	0.127	28	0.122	28	0.158	36	0.116	0.119	N	0.45	SignalP-noTM	N
Beaba1|10178	0.475	15	0.644	15	0.941	10	0.899	0.782	Y	0.45	SignalP-noTM	Y
Beaba1|10179	0.142	23	0.16	23	0.306	9	0.181	0.171	N	0.45	SignalP-noTM	N
Beaba1|1018	0.31	21	0.384	21	0.677	20	0.477	0.434	N	0.45	SignalP-noTM	N
Beaba1|10180	0.116	25	0.114	36	0.142	22	0.113	0.113	N	0.5	SignalP-TM	N
Beaba1|10181	0.507	22	0.629	22	0.862	16	0.777	0.709	Y	0.45	SignalP-noTM	N
Beaba1|10182	0.114	17	0.107	27	0.121	21	0.103	0.105	N	0.45	SignalP-noTM	N
Beaba1|10183	0.108	65	0.104	34	0.116	55	0.097	0.1	N	0.45	SignalP-noTM	N
Beaba1|10184	0.107	11	0.102	40	0.108	35	0.093	0.097	N	0.45	SignalP-noTM	N
Beaba1|10185	0.109	29	0.109	40	0.122	22	0.101	0.104	N	0.45	SignalP-noTM	N
Beaba1|10186	0.11	61	0.113	11	0.128	1	0.114	0.114	N	0.45	SignalP-noTM	N
Beaba1|10187	0.119	23	0.125	11	0.168	1	0.123	0.124	N	0.45	SignalP-noTM	N
Beaba1|10188	0.182	32	0.142	32	0.169	49	0.122	0.134	N	0.5	SignalP-TM	N
Beaba1|10189	0.12	33	0.113	33	0.145	29	0.108	0.11	N	0.45	SignalP-noTM	N
Beaba1|1019	0.167	36	0.129	36	0.154	5	0.11	0.119	N	0.45	SignalP-noTM	N
Beaba1|10190	0.109	57	0.11	42	0.145	39	0.101	0.106	N	0.5	SignalP-TM	N
Beaba1|10191	0.305	30	0.37	30	0.803	27	0.41	0.391	N	0.45	SignalP-noTM	N
Beaba1|10192	0.112	18	0.106	18	0.12	14	0.105	0.105	N	0.45	SignalP-noTM	N
Beaba1|10193	0.11	37	0.106	48	0.119	40	0.099	0.102	N	0.45	SignalP-noTM	N
Beaba1|10194	0.11	67	0.106	11	0.108	1	0.102	0.104	N	0.45	SignalP-noTM	N
Beaba1|10195	0.159	40	0.137	12	0.152	11	0.127	0.132	N	0.45	SignalP-noTM	N
Beaba1|10196	0.149	30	0.121	30	0.158	29	0.097	0.108	N	0.45	SignalP-noTM	N
Beaba1|10197	0.149	30	0.143	11	0.245	1	0.144	0.144	N	0.45	SignalP-noTM	N
Beaba1|10198	0.109	39	0.107	39	0.116	24	0.096	0.101	N	0.45	SignalP-noTM	N
Beaba1|10199	0.108	48	0.107	47	0.139	41	0.102	0.104	N	0.45	SignalP-noTM	N
Beaba1|102	0.113	23	0.113	23	0.155	44	0.113	0.113	N	0.45	SignalP-noTM	N
Beaba1|1020	0.419	18	0.551	18	0.796	1	0.704	0.634	Y	0.45	SignalP-noTM	N
Beaba1|10200	0.118	25	0.142	12	0.24	22	0.165	0.154	N	0.45	SignalP-noTM	N
Beaba1|10201	0.109	27	0.113	39	0.126	23	0.108	0.11	N	0.45	SignalP-noTM	N
Beaba1|10202	0.108	4	0.107	53	0.12	41	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10203	0.364	20	0.574	20	0.94	2	0.905	0.753	Y	0.45	SignalP-noTM	N
Beaba1|10204	0.126	22	0.117	11	0.146	1	0.106	0.111	N	0.45	SignalP-noTM	N
Beaba1|10205	0.11	47	0.104	47	0.115	32	0.092	0.097	N	0.45	SignalP-noTM	N
Beaba1|10206	0.133	20	0.114	37	0.169	26	0.1	0.108	N	0.5	SignalP-TM	N
Beaba1|10207	0.111	43	0.104	43	0.114	64	0.09	0.096	N	0.45	SignalP-noTM	N
Beaba1|10208	0.11	46	0.107	46	0.118	37	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10209	0.18	24	0.16	24	0.214	11	0.144	0.151	N	0.45	SignalP-noTM	N
Beaba1|1021	0.124	54	0.113	54	0.12	48	0.101	0.106	N	0.45	SignalP-noTM	N
Beaba1|10210	0.151	40	0.14	13	0.193	1	0.142	0.141	N	0.45	SignalP-noTM	N
Beaba1|10211	0.114	42	0.114	42	0.156	41	0.108	0.111	N	0.45	SignalP-noTM	N
Beaba1|10212	0.231	46	0.168	46	0.23	26	0.138	0.152	N	0.45	SignalP-noTM	N
Beaba1|10213	0.13	25	0.134	25	0.298	24	0.139	0.136	N	0.45	SignalP-noTM	N
Beaba1|10214	0.112	65	0.115	11	0.145	1	0.104	0.109	N	0.45	SignalP-noTM	N
Beaba1|10215	0.161	20	0.124	20	0.107	39	0.094	0.108	N	0.45	SignalP-noTM	N
Beaba1|10216	0.142	38	0.129	38	0.188	33	0.09	0.114	N	0.5	SignalP-TM	N
Beaba1|10217	0.112	51	0.106	24	0.126	8	0.104	0.105	N	0.45	SignalP-noTM	N
Beaba1|10218	0.122	31	0.108	31	0.115	5	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10219	0.213	43	0.185	16	0.248	8	0.209	0.198	N	0.45	SignalP-noTM	N
Beaba1|1022	0.315	41	0.392	19	0.787	16	0.567	0.486	Y	0.45	SignalP-noTM	N
Beaba1|10220	0.11	70	0.114	13	0.142	2	0.108	0.111	N	0.45	SignalP-noTM	N
Beaba1|10221	0.117	50	0.108	50	0.117	2	0.096	0.102	N	0.45	SignalP-noTM	N
Beaba1|10222	0.11	36	0.134	16	0.282	12	0.186	0.162	N	0.45	SignalP-noTM	N
Beaba1|10223	0.143	23	0.134	23	0.172	15	0.126	0.13	N	0.45	SignalP-noTM	N
Beaba1|10224	0.145	18	0.132	18	0.151	14	0.12	0.126	N	0.45	SignalP-noTM	N
Beaba1|10225	0.157	46	0.137	46	0.184	32	0.109	0.126	N	0.5	SignalP-TM	N
Beaba1|10226	0.116	22	0.107	64	0.112	52	0.098	0.103	N	0.45	SignalP-noTM	N
Beaba1|10227	0.271	25	0.46	25	0.966	11	0.792	0.639	Y	0.45	SignalP-noTM	N
Beaba1|10228	0.11	44	0.107	13	0.115	1	0.101	0.103	N	0.45	SignalP-noTM	N
Beaba1|10229	0.232	63	0.205	63	0.258	60	0.128	0.174	N	0.5	SignalP-TM	N
Beaba1|1023	0.121	36	0.135	17	0.268	3	0.158	0.147	N	0.45	SignalP-noTM	N
Beaba1|10230	0.118	26	0.114	26	0.146	25	0.113	0.113	N	0.45	SignalP-noTM	N
Beaba1|10231	0.109	43	0.108	70	0.12	53	0.098	0.102	N	0.45	SignalP-noTM	N
Beaba1|10232	0.255	20	0.155	20	0.114	39	0.091	0.12	N	0.45	SignalP-noTM	N
Beaba1|10233	0.161	37	0.139	37	0.197	36	0.115	0.126	N	0.45	SignalP-noTM	N
Beaba1|10234	0.116	32	0.114	12	0.159	2	0.115	0.115	N	0.45	SignalP-noTM	N
Beaba1|10235	0.266	19	0.224	19	0.378	15	0.199	0.211	N	0.45	SignalP-noTM	N
Beaba1|10236	0.144	40	0.119	40	0.142	2	0.104	0.111	N	0.45	SignalP-noTM	N
