ophcf2_protein,beau_protein,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAF4580821.1,XP_008599048.1,6.87E-38,140,9.58E-38,140
KAF4580822.1,XP_008601710.1,0,676,0,679
KAF4580823.1,XP_008601708.1,2.17E-113,335,2.60E-114,337
KAF4580824.1,XP_008602457.1,1.38E-25,103,4.83E-21,90.9
KAF4580825.1,XP_008595747.1,0,569,0,564
KAF4580830.1,XP_008602462.1,0,662,0,624
KAF4580831.1,XP_008602463.1,5.44E-70,211,3.32E-69,209
KAF4580833.1,XP_008597334.1,6.67E-86,260,5.10E-86,261
KAF4580836.1,XP_008593575.1,6.45E-16,77,4.24E-16,77
KAF4580838.1,XP_008601493.1,3.70E-25,110,1.24E-28,121
KAF4580840.1,XP_008597336.1,1.05E-141,401,8.17E-132,376
KAF4580841.1,XP_008597337.1,0,808,0,808
KAF4580842.1,XP_008597338.1,0,1129,0,1135
KAF4580846.1,XP_008597340.1,0,656,0,647
KAF4580850.1,XP_008601270.1,5.55E-12,62,3.92E-12,61.6
KAF4580851.1,XP_008597373.1,1.20E-71,214,1.32E-71,213
KAF4580852.1,XP_008597372.1,2.43E-104,338,8.55E-100,326
KAF4580853.1,XP_008597371.1,0,563,0,546
KAF4580854.1,XP_008597370.1,3.68E-136,378,2.62E-136,378
KAF4580855.1,XP_008597321.1,0,648,0,645
KAF4580857.1,XP_008601735.1,0,546,0,562
KAF4580858.1,XP_008602604.1,5.01E-139,397,1.09E-147,419
KAF4580859.1,XP_008601692.1,1.32E-115,333,2.32E-115,333
KAF4580861.1,XP_008601698.1,2.87E-174,487,8.85E-168,470
KAF4580862.1,XP_008601696.1,2.59E-53,166,1.98E-53,166
KAF4580863.1,XP_008601700.1,5.77E-126,365,4.27E-130,375
KAF4580867.1,XP_008601702.1,8.67E-167,478,2.84E-152,441
KAF4580868.1,XP_008597348.1,0,649,0,649
KAF4580870.1,XP_008597343.1,0,670,0,630
KAF4580871.1,XP_008597342.1,0,659,0,665
KAF4580872.1,XP_008597382.1,1.24E-135,395,8.29E-136,395
KAF4580873.1,XP_008596240.1,0,573,0,596
KAF4580874.1,XP_008597351.1,3.60E-96,290,4.30E-97,293
KAF4580875.1,XP_008597358.1,0,522,0,516
KAF4580876.1,XP_008597357.1,1.18E-131,384,9.03E-124,363
KAF4580878.1,XP_008597350.1,5.02E-38,137,3.84E-38,137
KAF4580880.1,XP_008603671.1,4.35E-16,80.1,8.63E-19,88.2
KAF4580884.1,XP_008597361.1,1.04E-58,177,7.36E-59,177
KAF4580885.1,XP_008597362.1,0,733,0,739
KAF4580887.1,XP_008594069.1,6.91E-23,82.4,5.06E-23,82.4
KAF4580891.1,XP_008597366.1,0,870,0,862
KAF4580892.1,XP_008597368.1,3.86E-157,442,6.22E-167,466
KAF4580896.1,XP_008597323.1,2.46E-132,372,3.15E-131,369
KAF4580897.1,XP_008599772.1,4.24E-29,99.4,2.88E-30,102
KAF4580898.1,XP_008597322.1,0,931,0,904
KAF4580899.1,XP_008594239.1,0,1130,0,1122
KAF4580900.1,XP_008594238.1,0,900,0,903
KAF4580901.1,XP_008594237.1,3.20E-127,354,2.28E-127,354
KAF4580902.1,XP_008594236.1,0,559,0,560
KAF4580903.1,XP_008594234.1,5.63E-87,250,6.97E-94,268
KAF4580908.1,XP_008594231.1,3.32E-87,275,1.36E-81,261
KAF4580913.1,XP_008594240.1,0,605,0,607
KAF4580914.1,XP_008594241.1,9.01E-127,362,6.66E-127,362
KAF4580918.1,XP_008603114.1,0,531,0,531
KAF4580919.1,XP_008603113.1,0,878,0,869
KAF4580924.1,XP_008603105.1,1.05E-97,289,1.26E-97,289
KAF4580925.1,XP_008597317.1,0,611,0,572
KAF4580927.1,XP_008597319.1,0,2736,0,2714
KAF4580930.1,XP_008596101.1,0,944,0,944
KAF4580932.1,XP_008601727.1,2.33E-111,340,2.28E-106,327
KAF4580934.1,XP_008601729.1,7.34E-99,281,5.58E-99,281
KAF4580936.1,XP_008601731.1,2.36E-65,193,1.70E-65,193
KAF4580937.1,XP_008601732.1,0,588,0,587
KAF4580938.1,XP_008599347.1,8.39E-13,65.5,4.88E-13,65.5
KAF4580939.1,XP_008597329.1,3.39E-54,168,3.56E-50,157
KAF4580940.1,XP_008597330.1,0,779,0,783
KAF4580941.1,XP_008597332.1,0,937,0,971
KAF4580943.1,XP_008601716.1,0,831,0,797
KAF4580944.1,XP_008601717.1,9.71E-96,283,1.81E-111,322
KAF4580945.1,XP_008601719.1,0,1046,0,1045
KAF4580946.1,XP_008597325.1,7.79E-153,455,0,705
KAF4580947.1,XP_008597324.1,5.28E-151,428,2.28E-156,442
KAF4580949.1,XP_008602167.1,2.01E-141,462,1.77E-141,461
KAF4580953.1,XP_008594225.1,0,1486,0,1483
KAF4580955.1,XP_008594223.1,0,1174,0,1146
KAF4580956.1,XP_008594222.1,0,634,0,623
KAF4580957.1,XP_008594221.1,4.80E-63,199,5.16E-75,229
KAF4580958.1,XP_008594218.1,2.71E-106,315,8.06E-108,318
KAF4580959.1,XP_008594219.1,6.66E-95,307,8.37E-99,317
KAF4580961.1,XP_008594220.1,7.15E-84,256,1.06E-84,258
KAF4580962.1,XP_008595246.1,2.53E-159,447,4.33E-172,479
KAF4580963.1,XP_008595245.1,1.94E-127,392,4.00E-130,399
KAF4580964.1,XP_008595244.1,8.64E-164,482,3.63E-170,498
KAF4580965.1,XP_008595243.1,1.74E-12,64.3,1.50E-14,70.1
KAF4580966.1,XP_008595241.1,0,1188,0,1202
KAF4580967.1,XP_008595240.1,0,706,0,753
KAF4580970.1,XP_008594541.1,1.48E-44,143,1.24E-36,122
KAF4580971.1,XP_008594542.1,0,767,0,736
KAF4580972.1,XP_008594543.1,3.62E-91,273,2.32E-91,273
KAF4580973.1,XP_008594544.1,0,964,0,1167
KAF4580976.1,XP_008594548.1,2.32E-161,466,1.04E-161,467
KAF4580977.1,XP_008594549.1,0,596,0,575
KAF4580978.1,XP_008595230.1,0,511,8.23E-179,498
KAF4580979.1,XP_008603456.1,0,874,0,819
KAF4580981.1,XP_008595233.1,0,681,0,655
KAF4580982.1,XP_008595234.1,1.93E-93,275,1.04E-93,276
KAF4580983.1,XP_008595235.1,6.79E-54,165,4.75E-54,165
KAF4580984.1,XP_008595236.1,0,679,0,657
KAF4580987.1,XP_008595238.1,0,597,0,597
KAF4580989.1,XP_008595112.1,0,987,0,970
KAF4580990.1,XP_008595114.1,3.80E-70,214,6.25E-71,216
KAF4580991.1,XP_008595115.1,3.49E-109,312,2.52E-109,312
KAF4580992.1,XP_008594499.1,5.25E-55,190,1.67E-49,175
KAF4580993.1,XP_008594498.1,6.94E-165,505,2.18E-165,506
KAF4580994.1,XP_008594497.1,7.61E-112,347,2.51E-111,345
KAF4580995.1,XP_008594496.1,0,633,0,688
KAF4580996.1,XP_008594493.1,2.76E-84,258,4.36E-79,244
KAF4580997.1,XP_008594494.1,0,2086,0,2117
KAF4580998.1,XP_008594495.1,0,1146,0,1146
KAF4580999.1,XP_008594492.1,0,1467,0,1442
KAF4581000.1,XP_008594491.1,0,1249,0,1238
KAF4581001.1,XP_008594490.1,3.42E-132,389,3.35E-125,370
KAF4581002.1,XP_008594489.1,3.92E-85,248,8.95E-85,247
KAF4581003.1,XP_008594488.1,0,627,0,596
KAF4581004.1,XP_008594486.1,1.14E-174,486,9.66E-175,485
KAF4581006.1,XP_008594484.1,0,1480,0,1477
KAF4581007.1,XP_008594483.1,0,1682,0,1702
KAF4581008.1,XP_008594482.1,4.22E-148,413,3.03E-148,413
KAF4581009.1,XP_008594531.1,0,814,0,796
KAF4581010.1,XP_008594532.1,0,742,0,717
KAF4581011.1,XP_008594533.1,3.75E-143,419,4.33E-138,406
KAF4581013.1,XP_008594537.1,0,2221,0,2211
KAF4581014.1,XP_008599337.1,0,1852,0,1838
KAF4581015.1,XP_008599336.1,0,1518,0,1533
KAF4581016.1,XP_008599335.1,0,929,0,916
KAF4581017.1,XP_008599334.1,0,684,0,658
KAF4581018.1,XP_008594292.1,6.15E-124,356,4.36E-124,356
KAF4581019.1,XP_008593762.1,1.78E-154,437,9.78E-150,425
KAF4581021.1,XP_008594321.1,0,1170,0,1192
KAF4581022.1,XP_008599864.1,7.69E-44,135,5.62E-44,135
KAF4581024.1,XP_008599866.1,0,743,0,712
KAF4581025.1,XP_008599867.1,0,738,0,694
KAF4581026.1,XP_008599868.1,0,663,0,682
KAF4581027.1,XP_008599869.1,2.36E-59,178,4.27E-70,205
KAF4581028.1,XP_008599871.1,1.35E-32,126,5.36E-32,124
KAF4581029.1,XP_008600783.1,4.92E-33,125,3.39E-33,125
KAF4581030.1,XP_008599872.1,0,533,0,533
KAF4581032.1,XP_008599850.1,4.38E-22,85.5,2.47E-24,90.9
KAF4581033.1,XP_008599860.1,2.83E-144,402,1.98E-144,402
KAF4581034.1,XP_008599849.1,1.45E-162,462,3.55E-161,459
KAF4581035.1,XP_008599844.1,0,783,0,806
KAF4581036.1,XP_008599843.1,1.72E-90,275,9.62E-92,278
KAF4581037.1,XP_008599842.1,0,725,0,675
KAF4581038.1,XP_008600422.1,0,1743,0,1741
KAF4581040.1,XP_008600423.1,0,646,0,646
KAF4581041.1,XP_008600424.1,0,572,0,584
KAF4581042.1,XP_008600425.1,0,637,0,622
KAF4581045.1,XP_008600432.1,0,585,0,585
KAF4581047.1,XP_008593369.1,0,606,0,612
KAF4581048.1,XP_008593371.1,0,563,0,559
KAF4581050.1,XP_008593372.1,0,1216,0,1226
KAF4581051.1,XP_008593373.1,6.12E-63,186,4.34E-63,186
KAF4581052.1,XP_008593374.1,0,666,0,666
KAF4581053.1,XP_008593916.1,3.40E-78,231,1.31E-82,242
KAF4581054.1,XP_008593915.1,5.01E-93,271,3.64E-93,271
KAF4581055.1,XP_008593914.1,0,921,0,926
KAF4581056.1,XP_008593912.1,0,607,0,591
KAF4581057.1,XP_008593911.1,0,1993,0,2022
KAF4581058.1,XP_008593910.1,6.17E-63,207,5.84E-70,225
KAF4581060.1,XP_008593907.1,0,1052,0,1034
KAF4581061.1,XP_008593906.1,0,942,0,914
KAF4581063.1,XP_008593904.1,2.45E-124,350,1.73E-124,350
KAF4581064.1,XP_008593902.1,0,528,0,515
KAF4581066.1,XP_008593899.1,0,921,0,961
KAF4581068.1,XP_008593898.1,7.90E-104,313,5.04E-104,313
KAF4581069.1,XP_008593896.1,0,824,0,855
KAF4581070.1,XP_008593893.1,0,959,0,876
KAF4581072.1,XP_008593890.1,1.52E-155,458,1.08E-162,476
KAF4581073.1,XP_008593889.1,0,604,0,570
KAF4581075.1,XP_008593888.1,0,538,2.82E-175,509
KAF4581076.1,XP_008593886.1,6.96E-63,218,4.43E-66,226
KAF4581077.1,XP_008593884.1,0,542,0,565
KAF4581080.1,XP_008593555.1,8.89E-32,129,2.35E-36,143
KAF4581081.1,XP_008593550.1,4.41E-158,449,3.64E-158,449
KAF4581083.1,XP_008593548.1,8.19E-76,224,6.20E-76,224
KAF4581084.1,XP_008593547.1,1.55E-63,188,1.10E-63,188
KAF4581086.1,XP_008593541.1,6.43E-92,281,4.08E-102,306
KAF4581087.1,XP_008593540.1,0,864,0,876
KAF4581097.1,XP_008603314.1,7.81E-99,289,4.62E-99,289
KAF4581099.1,XP_008594882.1,3.91E-160,464,3.42E-171,492
KAF4581100.1,XP_008594883.1,1.57E-111,343,4.88E-110,339
KAF4581101.1,XP_008594884.1,0,1068,0,1049
KAF4581102.1,XP_008594885.1,1.23E-89,273,3.36E-103,307
KAF4581103.1,XP_008594886.1,0,1382,0,1390
KAF4581104.1,XP_008594887.1,4.70E-133,372,3.09E-133,372
KAF4581106.1,XP_008594889.1,1.09E-130,378,4.46E-130,376
KAF4581107.1,XP_008594890.1,1.04E-125,365,1.90E-125,364
KAF4581108.1,XP_008600157.1,2.62E-18,81.3,1.56E-18,81.3
KAF4581109.1,XP_008594891.1,0,934,0,1003
KAF4581110.1,XP_008594892.1,1.41E-118,333,3.66E-118,332
KAF4581111.1,XP_008594893.1,1.47E-130,362,1.03E-130,362
KAF4581112.1,XP_008594894.1,0,1329,0,1335
KAF4581113.1,XP_008594895.1,6.38E-125,349,4.56E-125,349
KAF4581114.1,XP_008594897.1,1.60E-79,236,5.32E-79,234
KAF4581115.1,XP_008594898.1,0,556,0,555
KAF4581116.1,XP_008594899.1,2.11E-95,283,1.54E-90,271
KAF4581117.1,XP_008594900.1,2.44E-123,348,1.53E-127,358
KAF4581118.1,XP_008594901.1,2.63E-71,207,1.88E-71,207
KAF4581121.1,XP_008594905.1,0,1186,0,1149
KAF4581123.1,XP_008593703.1,2.43E-75,234,1.24E-78,243
KAF4581124.1,XP_008593702.1,0,599,0,601
KAF4581125.1,XP_008593701.1,1.25E-39,139,4.19E-34,125
KAF4581126.1,XP_008593700.1,0,689,0,684
KAF4581127.1,XP_008593699.1,0,732,0,728
KAF4581128.1,XP_008593698.1,1.10E-67,202,6.64E-68,202
KAF4581129.1,XP_008593697.1,8.91E-153,430,1.07E-155,437
KAF4581130.1,XP_008593696.1,1.71E-105,301,2.71E-106,303
KAF4581131.1,XP_008593694.1,0,1451,0,1436
KAF4581132.1,XP_008593693.1,1.11E-136,417,7.07E-151,452
KAF4581133.1,XP_008593691.1,2.33E-140,399,6.06E-141,400
KAF4581134.1,XP_008593690.1,3.39E-115,339,2.02E-92,281
KAF4581135.1,XP_008593686.1,4.21E-91,287,6.95E-93,291
KAF4581136.1,XP_008593685.1,0,854,0,839
KAF4581137.1,XP_008593684.1,0,1294,0,1352
KAF4581138.1,XP_008593683.1,1.35E-104,316,1.56E-104,316
KAF4581141.1,XP_008593681.1,1.30E-55,179,3.10E-57,183
KAF4581147.1,XP_008593672.1,0,723,0,660
KAF4581148.1,XP_008593671.1,3.99E-177,489,2.26E-177,489
KAF4581149.1,XP_008593670.1,2.97E-163,458,1.45E-160,451
KAF4581150.1,XP_008593669.1,3.68E-87,252,9.73E-79,230
KAF4581152.1,XP_008593667.1,9.12E-87,263,2.13E-85,259
KAF4581153.1,XP_008593666.1,0,671,0,687
KAF4581156.1,XP_008593489.1,0,599,0,587
KAF4581157.1,XP_008593488.1,8.23E-148,429,6.38E-168,480
KAF4581158.1,XP_008593460.1,0,791,0,749
KAF4581160.1,XP_008593487.1,3.41E-104,298,2.41E-104,298
KAF4581161.1,XP_008593486.1,0,747,0,726
KAF4581162.1,XP_008593485.1,0,580,0,597
KAF4581163.1,XP_008593484.1,0,959,0,963
KAF4581164.1,XP_008593483.1,1.20E-110,333,3.26E-116,347
KAF4581165.1,XP_008593482.1,1.60E-37,130,6.13E-41,139
KAF4581167.1,XP_008593480.1,0,1159,0,1150
KAF4581172.1,XP_008593477.1,1.14E-122,353,2.31E-122,352
KAF4581173.1,XP_008593476.1,7.29E-113,322,5.08E-113,322
KAF4581174.1,XP_008593475.1,2.90E-64,196,3.24E-66,201
KAF4581175.1,XP_008593474.1,8.46E-123,342,6.05E-123,342
KAF4581176.1,XP_008595546.1,1.15E-09,55.8,9.66E-11,58.9
KAF4581177.1,XP_008593473.1,0,984,0,984
KAF4581178.1,XP_008593471.1,6.15E-123,369,7.32E-135,399
KAF4581179.1,XP_008593472.1,2.20E-161,453,1.65E-162,456
KAF4581180.1,XP_008595403.1,0,871,0,870
KAF4581181.1,XP_008595402.1,1.68E-22,95.1,3.19E-19,85.9
KAF4581182.1,XP_008595401.1,4.23E-90,256,2.92E-90,256
KAF4581183.1,XP_008595400.1,2.26E-94,269,1.52E-94,269
KAF4581184.1,XP_008595399.1,2.01E-141,398,1.73E-158,441
KAF4581185.1,XP_008595398.1,6.88E-85,260,6.14E-82,252
KAF4581186.1,XP_008595397.1,2.95E-107,304,1.56E-102,292
KAF4581187.1,XP_008595396.1,0,927,0,931
KAF4581188.1,XP_008595395.1,0,501,0,501
KAF4581189.1,XP_008595394.1,2.16E-43,134,1.49E-43,134
KAF4581190.1,XP_008595393.1,5.80E-88,271,3.75E-87,269
KAF4581192.1,XP_008595423.1,5.42E-177,508,3.74E-177,508
KAF4581195.1,XP_008595277.1,0,633,0,608
KAF4581196.1,XP_008595278.1,4.27E-78,244,3.38E-81,252
KAF4581197.1,XP_008595391.1,0,879,0,880
KAF4581198.1,XP_008595279.1,0,683,0,664
KAF4581200.1,XP_008595284.1,0,940,0,940
KAF4581202.1,XP_008593504.1,0,961,0,944
KAF4581204.1,XP_008594903.1,1.32E-17,67.8,9.31E-18,67.8
KAF4581205.1,XP_008601232.1,0,897,0,877
KAF4581206.1,XP_008601231.1,3.04E-87,266,3.15E-86,263
KAF4581207.1,XP_008601230.1,0,569,0,571
KAF4581208.1,XP_008601229.1,0,664,0,649
KAF4581209.1,XP_008601228.1,1.37E-38,134,1.27E-33,120
KAF4581210.1,XP_008601227.1,0,882,0,882
KAF4581213.1,XP_008593467.1,2.60E-146,430,8.72E-146,428
KAF4581214.1,XP_008593468.1,0,705,0,722
KAF4581215.1,XP_008593469.1,5.53E-87,258,3.84E-80,240
KAF4581216.1,XP_008593470.1,0,568,0,546
KAF4581217.1,XP_008599935.1,7.06E-118,337,3.90E-128,362
KAF4581219.1,XP_008595404.1,1.35E-69,211,9.77E-86,252
KAF4581220.1,XP_008595405.1,5.43E-167,470,3.22E-169,475
KAF4581221.1,XP_008595406.1,1.79E-116,330,1.27E-116,330
KAF4581222.1,XP_008595407.1,0,788,0,776
KAF4581223.1,XP_008595390.1,0,941,0,922
KAF4581224.1,XP_008595408.1,0,600,0,600
KAF4581225.1,XP_008595409.1,3.40E-177,486,2.37E-177,486
KAF4581226.1,XP_008595410.1,1.87E-75,224,2.42E-73,218
KAF4581227.1,XP_008595411.1,0,708,0,697
KAF4581228.1,XP_008595417.1,2.16E-161,452,2.71E-164,459
KAF4581230.1,XP_008595420.1,0,853,0,853
KAF4581231.1,XP_008595421.1,0,964,0,952
KAF4581232.1,XP_008595389.1,0,966,0,970
KAF4581234.1,XP_008595387.1,1.68E-172,506,6.39E-172,504
KAF4581235.1,XP_008595384.1,3.07E-132,389,1.61E-132,389
KAF4581236.1,XP_008595383.1,0,737,0,726
KAF4581237.1,XP_008595381.1,2.57E-74,236,4.10E-79,248
KAF4581238.1,XP_008595380.1,7.12E-123,343,5.09E-123,343
KAF4581239.1,XP_008595379.1,0,592,0,600
KAF4581240.1,XP_008595378.1,0,1557,0,1585
KAF4581241.1,XP_008595377.1,0,668,0,668
KAF4581242.1,XP_008595376.1,8.53E-71,214,2.96E-76,228
KAF4581243.1,XP_008595375.1,6.29E-165,484,7.49E-160,471
KAF4581245.1,XP_008595374.1,2.78E-164,454,1.99E-164,454
KAF4581246.1,XP_008595373.1,0,2732,0,2680
KAF4581247.1,XP_008595372.1,0,746,0,768
KAF4581249.1,XP_008595371.1,1.41E-134,423,2.70E-131,414
KAF4581250.1,XP_008595370.1,4.82E-86,251,1.22E-90,262
KAF4581251.1,XP_008595369.1,7.47E-76,263,2.88E-76,264
KAF4581825.1,XP_008596032.1,9.22E-70,218,9.23E-77,236
KAF4581827.1,XP_008596036.1,1.33E-109,312,8.41E-110,312
KAF4581833.1,XP_008595857.1,0,768,0,782
KAF4581834.1,XP_008595856.1,0,705,0,716
KAF4581837.1,XP_008595850.1,0,523,0,523
KAF4581841.1,XP_008595852.1,0,961,0,970
KAF4581843.1,XP_008595847.1,0,1274,0,1283
KAF4581844.1,XP_008595846.1,0,1221,0,1231
KAF4581845.1,XP_008595845.1,1.09E-147,433,6.31E-144,423
KAF4581846.1,XP_008595844.1,0,1355,0,1370
KAF4581847.1,XP_008595843.1,0,866,0,865
KAF4581848.1,XP_008595305.1,0,1451,0,1472
KAF4581849.1,XP_008597447.1,0,929,0,962
KAF4581850.1,XP_008597448.1,0,615,0,615
KAF4581852.1,XP_008597450.1,0,1988,0,2040
KAF4581853.1,XP_008597451.1,0,953,0,909
KAF4581854.1,XP_008597452.1,0,640,0,658
KAF4581856.1,XP_008597454.1,0,1358,0,1306
KAF4581857.1,XP_008597455.1,0,762,0,1241
KAF4581858.1,XP_008597456.1,0,1135,0,1137
KAF4581859.1,XP_008597458.1,0,671,0,671
KAF4581860.1,XP_008597459.1,2.71E-149,416,5.19E-151,420
KAF4581861.1,XP_008597460.1,0,591,0,587
KAF4581862.1,XP_008597462.1,2.54E-148,415,1.80E-148,415
KAF4581865.1,XP_008597474.1,0,634,0,634
KAF4581866.1,XP_008597472.1,1.12E-81,256,2.60E-86,268
KAF4581867.1,XP_008597468.1,1.47E-122,355,6.18E-122,353
KAF4581869.1,XP_008597466.1,0,810,0,785
KAF4581870.1,XP_008597465.1,0,1526,0,1562
KAF4581871.1,XP_008597464.1,0,1197,0,1182
KAF4581872.1,XP_008597463.1,3.81E-57,184,2.75E-67,210
KAF4581875.1,XP_008602593.1,1.00E-96,320,8.57E-106,345
KAF4581876.1,XP_008602594.1,0,594,0,580
KAF4581877.1,XP_008602595.1,2.32E-161,457,1.01E-163,462
KAF4581878.1,XP_008602596.1,0,657,0,650
KAF4581879.1,XP_008602597.1,4.87E-115,350,2.98E-123,371
KAF4581880.1,XP_008602591.1,0,697,0,651
KAF4581882.1,XP_008596943.1,1.55E-121,352,1.12E-121,352
KAF4581883.1,XP_008596942.1,0,684,0,654
KAF4581884.1,XP_008596941.1,9.98E-128,383,1.22E-118,360
KAF4581885.1,XP_008596939.1,1.20E-45,147,6.96E-53,166
KAF4581887.1,XP_008600460.1,9.33E-169,486,7.47E-163,471
KAF4581888.1,XP_008594340.1,0,550,0,559
KAF4581889.1,XP_008594341.1,2.09E-177,518,0,632
KAF4581891.1,XP_008594344.1,0,1851,0,1796
KAF4581893.1,XP_008594347.1,0,1034,0,1027
KAF4581894.1,XP_008594348.1,1.16E-122,374,6.90E-138,412
KAF4581895.1,XP_008594349.1,9.26E-158,447,5.32E-158,448
KAF4581896.1,XP_008594350.1,1.07E-40,149,3.07E-37,139
KAF4581897.1,XP_008594353.1,0,961,0,965
KAF4581898.1,XP_008594354.1,2.87E-22,92,2.03E-22,91.7
KAF4581899.1,XP_008594355.1,1.30E-37,133,4.22E-37,131
KAF4581900.1,XP_008594357.1,0,1388,0,1372
KAF4581901.1,XP_008594358.1,0,932,0,948
KAF4581902.1,XP_008594359.1,4.08E-60,192,4.33E-60,192
KAF4581904.1,XP_008594360.1,0,663,0,680
KAF4581905.1,XP_008603179.1,6.06E-63,207,4.47E-63,207
KAF4581906.1,XP_008594361.1,2.64E-58,174,1.33E-58,174
KAF4581907.1,XP_008594362.1,0,697,0,667
KAF4581908.1,XP_008594363.1,5.66E-136,389,2.50E-146,414
KAF4581909.1,XP_008594364.1,0,2012,0,1992
KAF4581910.1,XP_008594369.1,0,3104,0,3124
KAF4581911.1,XP_008594368.1,0,541,0,534
KAF4581912.1,XP_008594370.1,4.19E-114,340,3.83E-113,337
KAF4581913.1,XP_008594372.1,2.26E-154,442,7.77E-163,464
KAF4581914.1,XP_008594376.1,0,602,0,600
KAF4581915.1,XP_008594377.1,2.57E-169,481,1.34E-171,487
KAF4581916.1,XP_008594378.1,4.81E-78,223,3.44E-78,223
KAF4581917.1,XP_008594379.1,8.38E-39,137,3.29E-31,117
KAF4581918.1,XP_008594380.1,6.97E-123,355,4.95E-123,355
KAF4581920.1,XP_008594381.1,0,2189,0,2128
KAF4581921.1,XP_008594382.1,1.40E-39,135,6.84E-45,148
KAF4581922.1,XP_008594384.1,1.44E-35,137,6.52E-33,129
KAF4581923.1,XP_008594385.1,9.68E-136,382,1.08E-142,400
KAF4581924.1,XP_008594386.1,1.34E-129,369,2.80E-138,390
KAF4581925.1,XP_008594387.1,6.99E-149,416,8.34E-154,428
KAF4581926.1,XP_008594391.1,0,679,0,685
KAF4581927.1,XP_008594390.1,8.87E-115,348,1.65E-115,349
KAF4581928.1,XP_008594389.1,2.25E-161,463,3.93E-158,454
KAF4581929.1,XP_008594392.1,0,650,0,656
KAF4581930.1,XP_008598922.1,0,906,0,908
KAF4581931.1,XP_008596416.1,0,620,0,617
KAF4581933.1,XP_008594426.1,4.43E-115,323,3.16E-115,323
KAF4581934.1,XP_008598831.1,0,1109,0,1118
KAF4581936.1,XP_008598833.1,1.29E-161,451,9.46E-162,451
KAF4581939.1,XP_008598835.1,9.99E-96,276,6.52E-96,276
KAF4581940.1,XP_008598836.1,0,1080,0,1072
KAF4581941.1,XP_008598837.1,0,4776,0,4740
KAF4581942.1,XP_008598838.1,1.99E-161,446,1.63E-153,426
KAF4581943.1,XP_008598839.1,1.32E-38,126,5.67E-41,132
KAF4581944.1,XP_008598841.1,0,706,0,716
KAF4581945.1,XP_008598842.1,0,540,0,546
KAF4581946.1,XP_008598843.1,0,973,0,973
KAF4581948.1,XP_008598844.1,2.31E-172,482,1.78E-172,482
KAF4581949.1,XP_008598845.1,0,877,0,879
KAF4581950.1,XP_008598846.1,4.11E-63,197,6.39E-63,196
KAF4581951.1,XP_008598847.1,3.42E-101,304,5.65E-82,254
KAF4581952.1,XP_008596766.1,6.63E-78,233,1.22E-78,234
KAF4581952.1,XP_008596789.1,8.83E-78,232,6.54E-78,232
KAF4581952.1,XP_008598848.1,8.57E-79,240,1.33E-78,239
KAF4581953.1,XP_008598849.1,0,944,0,955
KAF4581955.1,XP_008598850.1,0,598,0,632
KAF4581956.1,XP_008598851.1,0,833,0,833
