"start","end","attributes_robin","attributes_ncbi"
7249,9339,"Ophcf2|00001","GQ602_000001"
717807,718951,"Ophcf2|00093","GQ602_000093"
832347,833843,"Ophcf2|00094","GQ602_000094"
834259,835609,"Ophcf2|00095","GQ602_000095"
836755,839405,"Ophcf2|00096","GQ602_000096"
839582,840211,"Ophcf2|00097","GQ602_000097"
840623,841558,"Ophcf2|00098","GQ602_000098"
842073,844574,"Ophcf2|00099","GQ602_000099"
845833,847392,"Ophcf2|00100","GQ602_000100"
848200,848737,"Ophcf2|00101","GQ602_000101"
848887,851172,"Ophcf2|00102","GQ602_000102"
851968,853341,"Ophcf2|00103","GQ602_000103"
853603,855026,"Ophcf2|00104","GQ602_000104"
855238,857499,"Ophcf2|00105","GQ602_000105"
857708,858776,"Ophcf2|00106","GQ602_000106"
859571,861628,"Ophcf2|00107","GQ602_000107"
862271,863140,"Ophcf2|00108","GQ602_000108"
863708,865685,"Ophcf2|00109","GQ602_000109"
866529,867583,"Ophcf2|00110","GQ602_000110"
868537,869656,"Ophcf2|00111","GQ602_000111"
872023,874200,"Ophcf2|00112","GQ602_000112"
876364,880301,"Ophcf2|00113","GQ602_000113"
880838,883369,"Ophcf2|00114","GQ602_000114"
883462,884683,"Ophcf2|00115","GQ602_000115"
885150,886635,"Ophcf2|00116","GQ602_000116"
886713,889126,"Ophcf2|00117","GQ602_000117"
889873,891432,"Ophcf2|00118","GQ602_000118"
891638,892347,"Ophcf2|00119","GQ602_000119"
893296,894699,"Ophcf2|00120","GQ602_000120"
895012,896739,"Ophcf2|00121","GQ602_000121"
897042,900138,"Ophcf2|00122","GQ602_000122"
901128,902090,"Ophcf2|00123","GQ602_000123"
902380,903169,"Ophcf2|00124","GQ602_000124"
903351,904788,"Ophcf2|00125","GQ602_000125"
941404,944224,"Ophcf2|00126","GQ602_000126"
945124,946799,"Ophcf2|00127","GQ602_000127"
950171,951005,"Ophcf2|00128","GQ602_000128"
951234,954184,"Ophcf2|00129","GQ602_000129"
954746,955156,"Ophcf2|00130","GQ602_000130"
955966,956359,"Ophcf2|00131","GQ602_000131"
956664,959696,"Ophcf2|00132","GQ602_000132"
960441,963003,"Ophcf2|00133","GQ602_000133"
963558,966118,"Ophcf2|00134","GQ602_000134"
967672,969780,"Ophcf2|00135","GQ602_000135"
969997,972645,"Ophcf2|00136","GQ602_000136"
973885,974724,"Ophcf2|00137","GQ602_000137"
975356,977736,"Ophcf2|00138","GQ602_000138"
978293,978860,"Ophcf2|00139","GQ602_000139"
986454,987836,"Ophcf2|00140","GQ602_000140"
988498,990420,"Ophcf2|00141","GQ602_000141"
990825,992729,"Ophcf2|00142","GQ602_000142"
993247,994219,"Ophcf2|00143","GQ602_000143"
996517,1002464,"Ophcf2|00144","GQ602_000144"
1005501,1007585,"Ophcf2|00145","GQ602_000145"
1008264,1012101,"Ophcf2|00146","GQ602_000146"
1014605,1015912,"Ophcf2|00147","GQ602_000147"
1017155,1019572,"Ophcf2|00148","GQ602_000148"
1020524,1022158,"Ophcf2|00149","GQ602_000149"
1022200,1024237,"Ophcf2|00150","GQ602_000150"
1025034,1026610,"Ophcf2|00151","GQ602_000151"
1028768,1032774,"Ophcf2|00152","GQ602_000152"
1033754,1034216,"Ophcf2|00153","GQ602_000153"
1035441,1037510,"Ophcf2|00154","GQ602_000154"
1038129,1040252,"Ophcf2|00155","GQ602_000155"
1040761,1042580,"Ophcf2|00156","GQ602_000156"
1044189,1044836,"Ophcf2|00157","GQ602_000157"
1047529,1048534,"Ophcf2|00158","GQ602_000158"
1053139,1054467,"Ophcf2|00159","GQ602_000159"
1055017,1057501,"Ophcf2|00160","GQ602_000160"
1058470,1059231,"Ophcf2|00161","GQ602_000161"
1059548,1060069,"Ophcf2|00162","GQ602_000162"
1060751,1063389,"Ophcf2|00163","GQ602_000163"
1063880,1064763,"Ophcf2|00164","GQ602_000164"
1064905,1065652,"Ophcf2|00165","GQ602_000165"
1066636,1067484,"Ophcf2|00166","GQ602_000166"
1067627,1068904,"Ophcf2|00167","GQ602_000167"
1069241,1070026,"Ophcf2|00168","GQ602_000168"
1071067,1072364,"Ophcf2|00169","GQ602_000169"
1073398,1074217,"Ophcf2|00170","GQ602_000170"
1074632,1075776,"Ophcf2|00171","GQ602_000171"
1076613,1078233,"Ophcf2|00172","GQ602_000172"
1080611,1081948,"Ophcf2|00173","GQ602_000173"
1082642,1086231,"Ophcf2|00174","GQ602_000174"
1086853,1087165,"Ophcf2|00175","GQ602_000175"
1087542,1090331,"Ophcf2|00176","GQ602_000176"
1090955,1093700,"Ophcf2|00177","GQ602_000177"
1095790,1099884,"Ophcf2|00178","GQ602_000178"
1100182,1100517,"Ophcf2|00179","GQ602_000179"
1102337,1102998,"Ophcf2|00180","GQ602_000180"
1104208,1104739,"Ophcf2|00181","GQ602_000181"
1106293,1107618,"Ophcf2|00182","GQ602_000182"
1108697,1109890,"Ophcf2|00183","GQ602_000183"
1110608,1111510,"Ophcf2|00184","GQ602_000184"
1111953,1114367,"Ophcf2|00185","GQ602_000185"
1116422,1116837,"Ophcf2|00186","GQ602_000186"
1120900,1122853,"Ophcf2|00187","GQ602_000187"
1124249,1124979,"Ophcf2|00188","GQ602_000188"
1125561,1129159,"Ophcf2|00189","GQ602_000189"
1130625,1133604,"Ophcf2|00190","GQ602_000190"
1136366,1136827,"Ophcf2|00191","GQ602_000191"
1137079,1138878,"Ophcf2|00192","GQ602_000192"
1139510,1145361,"Ophcf2|00193","GQ602_000193"
1145984,1148428,"Ophcf2|00194","GQ602_000194"
1151465,1153072,"Ophcf2|00195","GQ602_000195"
1154047,1155798,"Ophcf2|00196","GQ602_000196"
1156428,1157498,"Ophcf2|00197","GQ602_000197"
1157898,1162092,"Ophcf2|00198","GQ602_000198"
1162546,1163347,"Ophcf2|00199","GQ602_000199"
1163627,1163899,"Ophcf2|00200","GQ602_000200"
1168307,1169034,"Ophcf2|00201","GQ602_000201"
1169751,1172090,"Ophcf2|00202","GQ602_000202"
1172337,1174249,"Ophcf2|00203","GQ602_000203"
1174508,1175026,"Ophcf2|00204","GQ602_000204"
1175138,1176991,"Ophcf2|00205","GQ602_000205"
1178248,1179363,"Ophcf2|00206","GQ602_000206"
1180123,1180748,"Ophcf2|00207","GQ602_000207"
1181250,1181943,"Ophcf2|00208","GQ602_000208"
1184389,1185545,"Ophcf2|00209","GQ602_000209"
1186377,1187988,"Ophcf2|00210","GQ602_000210"
1188436,1190150,"Ophcf2|00211","GQ602_000211"
1190942,1192980,"Ophcf2|00212","GQ602_000212"
1193509,1193865,"Ophcf2|00213","GQ602_000213"
1194723,1197407,"Ophcf2|00214","GQ602_000214"
1198295,1199857,"Ophcf2|00215","GQ602_000215"
1200851,1203606,"Ophcf2|00216","GQ602_000216"
1204904,1205503,"Ophcf2|00217","GQ602_000217"
1206335,1206958,"Ophcf2|00218","GQ602_000218"
1207339,1208780,"Ophcf2|00219","GQ602_000219"
1209345,1211443,"Ophcf2|00220","GQ602_000220"
1211724,1213449,"Ophcf2|00221","GQ602_000221"
1214146,1215277,"Ophcf2|00222","GQ602_000222"
1218504,1222624,"Ophcf2|00223","GQ602_000223"
1223369,1227798,"Ophcf2|00224","GQ602_000224"
1228166,1228438,"Ophcf2|00225","GQ602_000225"
1229091,1229502,"Ophcf2|00226","GQ602_000226"
1230268,1231266,"Ophcf2|00227","GQ602_000227"
1232675,1234228,"Ophcf2|00228","GQ602_000228"
1236132,1236904,"Ophcf2|00229","GQ602_000229"
1238922,1241464,"Ophcf2|00230","GQ602_000230"
1242307,1242861,"Ophcf2|00231","GQ602_000231"
1243166,1244145,"Ophcf2|00232","GQ602_000232"
1245676,1247007,"Ophcf2|00233","GQ602_000233"
1247512,1247917,"Ophcf2|00234","GQ602_000234"
1249063,1249668,"Ophcf2|00235","GQ602_000235"
1251316,1252319,"Ophcf2|00236","GQ602_000236"
1253091,1254500,"Ophcf2|00237","GQ602_000237"
1256239,1257516,"Ophcf2|00238","GQ602_000238"
1258244,1259278,"Ophcf2|00239","GQ602_000239"
1259491,1261307,"Ophcf2|00240","GQ602_000240"
1262078,1264262,"Ophcf2|00241","GQ602_000241"
1265304,1265702,"Ophcf2|00242","GQ602_000242"
1266352,1268872,"Ophcf2|00243","GQ602_000243"
1269499,1271995,"Ophcf2|00244","GQ602_000244"
1272816,1276355,"Ophcf2|00245","GQ602_000245"
1278078,1279189,"Ophcf2|00246","GQ602_000246"
1279325,1281879,"Ophcf2|00247","GQ602_000247"
1284402,1285734,"Ophcf2|00248","GQ602_000248"
1286208,1287157,"Ophcf2|00249","GQ602_000249"
1287950,1291301,"Ophcf2|00250","GQ602_000250"
1292145,1293272,"Ophcf2|00251","GQ602_000251"
1293906,1294734,"Ophcf2|00252","GQ602_000252"
1295337,1296370,"Ophcf2|00253","GQ602_000253"
1296396,1298277,"Ophcf2|00254","GQ602_000254"
1300449,1301360,"Ophcf2|00255","GQ602_000255"
1302015,1303002,"Ophcf2|00256","GQ602_000256"
1303714,1305013,"Ophcf2|00257","GQ602_000257"
1308443,1309974,"Ophcf2|00258","GQ602_000258"
1310755,1311460,"Ophcf2|00259","GQ602_000259"
1312106,1312588,"Ophcf2|00260","GQ602_000260"
1312674,1315634,"Ophcf2|00261","GQ602_000261"
1315872,1317549,"Ophcf2|00262","GQ602_000262"
1319790,1320605,"Ophcf2|00263","GQ602_000263"
1321710,1322519,"Ophcf2|00264","GQ602_000264"
1323132,1324393,"Ophcf2|00265","GQ602_000265"
1324955,1326042,"Ophcf2|00266","GQ602_000266"
1327897,1328634,"Ophcf2|00267","GQ602_000267"
1328983,1329379,"Ophcf2|00268","GQ602_000268"
1329773,1333027,"Ophcf2|00269","GQ602_000269"
1333689,1335494,"Ophcf2|00270","GQ602_000270"
1336964,1338628,"Ophcf2|00271","GQ602_000271"
1338988,1339629,"Ophcf2|00272","GQ602_000272"
1340063,1341271,"Ophcf2|00273","GQ602_000273"
1343659,1345065,"Ophcf2|00274","GQ602_000274"
1346520,1348439,"Ophcf2|00275","GQ602_000275"
1348888,1350408,"Ophcf2|00276","GQ602_000276"
1350742,1351206,"Ophcf2|00277","GQ602_000277"
1352844,1354222,"Ophcf2|00278","GQ602_000278"
1354723,1356276,"Ophcf2|00279","GQ602_000279"
1357012,1359477,"Ophcf2|00280","GQ602_000280"
1361085,1362626,"Ophcf2|00281","GQ602_000281"
1364099,1365333,"Ophcf2|00282","GQ602_000282"
1366213,1366743,"Ophcf2|00283","GQ602_000283"
1367885,1370499,"Ophcf2|00284","GQ602_000284"
1374138,1375089,"Ophcf2|00285","GQ602_000285"
1375126,1376823,"Ophcf2|00286","GQ602_000286"
1377691,1378393,"Ophcf2|00287","GQ602_000287"
1379350,1382457,"Ophcf2|00288","GQ602_000288"
1383679,1385374,"Ophcf2|00289","GQ602_000289"
1388946,1390955,"Ophcf2|00290","GQ602_000290"
1392028,1393702,"Ophcf2|00291","GQ602_000291"
1394111,1394475,"Ophcf2|00292","GQ602_000292"
1395098,1396972,"Ophcf2|00293","GQ602_000293"
1397911,1399009,"Ophcf2|00294","GQ602_000294"
1400515,1402032,"Ophcf2|00295","GQ602_000295"
1403145,1403742,"Ophcf2|00296","GQ602_000296"
1404695,1406422,"Ophcf2|00297","GQ602_000297"
1408695,1409579,"Ophcf2|00298","GQ602_000298"
1409810,1412735,"Ophcf2|00299","GQ602_000299"
1415076,1416461,"Ophcf2|00300","GQ602_000300"
1417308,1419344,"Ophcf2|00301","GQ602_000301"
1419579,1421247,"Ophcf2|00302","GQ602_000302"
1423109,1425675,"Ophcf2|00303","GQ602_000303"
1426084,1427714,"Ophcf2|00304","GQ602_000304"
1428789,1430432,"Ophcf2|00305","GQ602_000305"
1435267,1436220,"Ophcf2|00306","GQ602_000306"
1436354,1437101,"Ophcf2|00307","GQ602_000307"
1438982,1440611,"Ophcf2|00308","GQ602_000308"
1442729,1443692,"Ophcf2|00309","GQ602_000309"
1444641,1447433,"Ophcf2|00310","GQ602_000310"
1448761,1450641,"Ophcf2|00311","GQ602_000311"
1450963,1452267,"Ophcf2|00312","GQ602_000312"
1453753,1454703,"Ophcf2|00313","GQ602_000313"
1457147,1460458,"Ophcf2|00314","GQ602_000314"
1461781,1462464,"Ophcf2|00315","GQ602_000315"
1463269,1464824,"Ophcf2|00316","GQ602_000316"
1465272,1466288,"Ophcf2|00317","GQ602_000317"
1466365,1466795,"Ophcf2|00318","GQ602_000318"
1467387,1469390,"Ophcf2|00319","GQ602_000319"
1470980,1474385,"Ophcf2|00320","GQ602_000320"
1474761,1480662,"Ophcf2|00321","GQ602_000321"
1481029,1482309,"Ophcf2|00322","GQ602_000322"
1482479,1483195,"Ophcf2|00323","GQ602_000323"
1483536,1486711,"Ophcf2|00324","GQ602_000324"
1487115,1489569,"Ophcf2|00325","GQ602_000325"
1490929,1492271,"Ophcf2|00326","GQ602_000326"
1493785,1495110,"Ophcf2|00327","GQ602_000327"
1495258,1496983,"Ophcf2|00328","GQ602_000328"
1497964,1499569,"Ophcf2|00329","GQ602_000329"
1501350,1502401,"Ophcf2|00330","GQ602_000330"
1503468,1504572,"Ophcf2|00331","GQ602_000331"
1504767,1505153,"Ophcf2|00332","GQ602_000332"
1506554,1507806,"Ophcf2|00333","GQ602_000333"
1507873,1508797,"Ophcf2|00334","GQ602_000334"
1510940,1511699,"Ophcf2|00335","GQ602_000335"
1512158,1516391,"Ophcf2|00336","GQ602_000336"
1516728,1517208,"Ophcf2|00337","GQ602_000337"
1518186,1518557,"Ophcf2|00338","GQ602_000338"
1518906,1519454,"Ophcf2|00339","GQ602_000339"
1519943,1520867,"Ophcf2|00340","GQ602_000340"
1521625,1523010,"Ophcf2|00341","GQ602_000341"
1523752,1525651,"Ophcf2|00342","GQ602_000342"
1526458,1528197,"Ophcf2|00343","GQ602_000343"
1529031,1531357,"Ophcf2|00344","GQ602_000344"
1533550,1534736,"Ophcf2|00345","GQ602_000345"
1535504,1537935,"Ophcf2|00346","GQ602_000346"
1538218,1539960,"Ophcf2|00347","GQ602_000347"
1540490,1541267,"Ophcf2|00348","GQ602_000348"
1541557,1543590,"Ophcf2|00349","GQ602_000349"
1543984,1544493,"Ophcf2|00350","GQ602_000350"
1544643,1545050,"Ophcf2|00351","GQ602_000351"
1546102,1547426,"Ophcf2|00352","GQ602_000352"
1547987,1549053,"Ophcf2|00353","GQ602_000353"
1549490,1551476,"Ophcf2|00354","GQ602_000354"
1551899,1552652,"Ophcf2|00355","GQ602_000355"
1555182,1556544,"Ophcf2|00356","GQ602_000356"
1556770,1558547,"Ophcf2|00357","GQ602_000357"
1558758,1559680,"Ophcf2|00358","GQ602_000358"
1560793,1565957,"Ophcf2|00359","GQ602_000359"
1566907,1569996,"Ophcf2|00360","GQ602_000360"
1572951,1574519,"Ophcf2|00361","GQ602_000361"
1575121,1575552,"Ophcf2|00362","GQ602_000362"
1577065,1577539,"Ophcf2|00363","GQ602_000363"
1577951,1579719,"Ophcf2|00364","GQ602_000364"
1580151,1581648,"Ophcf2|00365","GQ602_000365"
1582447,1583247,"Ophcf2|00366","GQ602_000366"
1584299,1585441,"Ophcf2|00367","GQ602_000367"
1586085,1587406,"Ophcf2|00368","GQ602_000368"
1587663,1588436,"Ophcf2|00369","GQ602_000369"
1589556,1590546,"Ophcf2|00370","GQ602_000370"
1590735,1593798,"Ophcf2|00371","GQ602_000371"
1597743,1599357,"Ophcf2|00372","GQ602_000372"
1599706,1601582,"Ophcf2|00373","GQ602_000373"
1602869,1604538,"Ophcf2|00374","GQ602_000374"
1604810,1612793,"Ophcf2|00375","GQ602_000375"
1612984,1613613,"Ophcf2|00376","GQ602_000376"
1613955,1615996,"Ophcf2|00377","GQ602_000377"
1616585,1618848,"Ophcf2|00378","GQ602_000378"
1620641,1623713,"Ophcf2|00379","GQ602_000379"
1624499,1626924,"Ophcf2|00380","GQ602_000380"
1627826,1628659,"Ophcf2|00381","GQ602_000381"
1630380,1633470,"Ophcf2|00382","GQ602_000382"
1634611,1635678,"Ophcf2|00383","GQ602_000383"
1636001,1636454,"Ophcf2|00384","GQ602_000384"
1639351,1643974,"Ophcf2|00385","GQ602_000385"
1644601,1646080,"Ophcf2|00386","GQ602_000386"
1646250,1647639,"Ophcf2|00387","GQ602_000387"
1649174,1650779,"Ophcf2|00388","GQ602_000388"
1651103,1652110,"Ophcf2|00389","GQ602_000389"
1652731,1655518,"Ophcf2|00390","GQ602_000390"
1655871,1659058,"Ophcf2|00391","GQ602_000391"
1660720,1662766,"Ophcf2|00392","GQ602_000392"
1662802,1664889,"Ophcf2|00393","GQ602_000393"
1667075,1669050,"Ophcf2|00394","GQ602_000394"
1669635,1670936,"Ophcf2|00395","GQ602_000395"
1672378,1677654,"Ophcf2|00396","GQ602_000396"
1678109,1679790,"Ophcf2|00397","GQ602_000397"
1680250,1681224,"Ophcf2|00398","GQ602_000398"
1681739,1685227,"Ophcf2|00399","GQ602_000399"
1685505,1686834,"Ophcf2|00400","GQ602_000400"
1687256,1688915,"Ophcf2|00401","GQ602_000401"
1690310,1691973,"Ophcf2|00402","GQ602_000402"
1692853,1694312,"Ophcf2|00403","GQ602_000403"
1694815,1696306,"Ophcf2|00404","GQ602_000404"
1697699,1701874,"Ophcf2|00405","GQ602_000405"
1702309,1703876,"Ophcf2|00406","GQ602_000406"
1704369,1705784,"Ophcf2|00407","GQ602_000407"
1706121,1709523,"Ophcf2|00408","GQ602_000408"
1713949,1719401,"Ophcf2|00409","GQ602_000409"
1720074,1721455,"Ophcf2|00410","GQ602_000410"
1721721,1725485,"Ophcf2|00411","GQ602_000411"
1727059,1728121,"Ophcf2|00412","GQ602_000412"
1728304,1728729,"Ophcf2|00413","GQ602_000413"
1728933,1731704,"Ophcf2|00414","GQ602_000414"
1732257,1739076,"Ophcf2|00415","GQ602_000415"
1739419,1740076,"Ophcf2|00416","GQ602_000416"
1740517,1740969,"Ophcf2|00417","GQ602_000417"
1741450,1742477,"Ophcf2|00418","GQ602_000418"
1744725,1745162,"Ophcf2|00419","GQ602_000419"
1745513,1747609,"Ophcf2|00420","GQ602_000420"
1748298,1749927,"Ophcf2|00421","GQ602_000421"
1750383,1751833,"Ophcf2|00422","GQ602_000422"
1752824,1754015,"Ophcf2|00423","GQ602_000423"
1754685,1755188,"Ophcf2|00424","GQ602_000424"
1755543,1757233,"Ophcf2|00425","GQ602_000425"
1758775,1760838,"Ophcf2|00426","GQ602_000426"
1762081,1762890,"Ophcf2|00427","GQ602_000427"
1763323,1765172,"Ophcf2|00428","GQ602_000428"
1766276,1769628,"Ophcf2|00429","GQ602_000429"
1770949,1772209,"Ophcf2|00430","GQ602_000430"
1772532,1773429,"Ophcf2|00431","GQ602_000431"
1773856,1775427,"Ophcf2|00432","GQ602_000432"
1775556,1776232,"Ophcf2|00433","GQ602_000433"
1776659,1778344,"Ophcf2|00434","GQ602_000434"
1779779,1782177,"Ophcf2|00435","GQ602_000435"
1782497,1783406,"Ophcf2|00436","GQ602_000436"
1784073,1786016,"Ophcf2|00437","GQ602_000437"
1788015,1789723,"Ophcf2|00438","GQ602_000438"
1796414,1797573,"Ophcf2|00439","GQ602_000439"
1798440,1801607,"Ophcf2|00440","GQ602_000440"
1802144,1803295,"Ophcf2|00441","GQ602_000441"
1803536,1807051,"Ophcf2|00442","GQ602_000442"
1807538,1809706,"Ophcf2|00443","GQ602_000443"
1810523,1811110,"Ophcf2|00444","GQ602_000444"
1812274,1813825,"Ophcf2|00445","GQ602_000445"
1814253,1815204,"Ophcf2|00446","GQ602_000446"
1816492,1821251,"Ophcf2|00447","GQ602_000447"
1821582,1822796,"Ophcf2|00448","GQ602_000448"
1824014,1825482,"Ophcf2|00449","GQ602_000449"
1826315,1827133,"Ophcf2|00450","GQ602_000450"
1830424,1830773,"Ophcf2|00451","GQ602_000451"
1831878,1836454,"Ophcf2|00452","GQ602_000452"
1836719,1837522,"Ophcf2|00453","GQ602_000453"
1837706,1839288,"Ophcf2|00454","GQ602_000454"
1839714,1840628,"Ophcf2|00455","GQ602_000455"
1842524,1843048,"Ophcf2|00456","GQ602_000456"
1843952,1848696,"Ophcf2|00457","GQ602_000457"
1848882,1849800,"Ophcf2|00458","GQ602_000458"
1852049,1853860,"Ophcf2|00459","GQ602_000459"
1859776,1861651,"Ophcf2|00460","GQ602_000460"
1862425,1862731,"Ophcf2|00461","GQ602_000461"
1864717,1865034,"Ophcf2|00462","GQ602_000462"
1867832,1872722,"Ophcf2|00463","GQ602_000463"
1873655,1874406,"Ophcf2|00464","GQ602_000464"
1874676,1877611,"Ophcf2|00465","GQ602_000465"
1880827,1884095,"Ophcf2|00466","GQ602_000466"
1885280,1885647,"Ophcf2|00467","GQ602_000467"
1885906,1887438,"Ophcf2|00468","GQ602_000468"
1887977,1889624,"Ophcf2|00469","GQ602_000469"
1890270,1891994,"Ophcf2|00470","GQ602_000470"
1893007,1894485,"Ophcf2|00471","GQ602_000471"
1894533,1895584,"Ophcf2|00472","GQ602_000472"
1900272,1900856,"Ophcf2|00473","GQ602_000473"
1901998,1903302,"Ophcf2|00474","GQ602_000474"
1903426,1905957,"Ophcf2|00475","GQ602_000475"
1906546,1909414,"Ophcf2|00476","GQ602_000476"
1909979,1911670,"Ophcf2|00477","GQ602_000477"
1911923,1913068,"Ophcf2|00478","GQ602_000478"
1913510,1914139,"Ophcf2|00479","GQ602_000479"
1972297,1975848,"Ophcf2|00480","GQ602_000480"
1976388,1982053,"Ophcf2|00481","GQ602_000481"
1982729,1989192,"Ophcf2|00482","GQ602_000482"
2038871,2040018,"Ophcf2|00483","GQ602_000483"
2040492,2041146,"Ophcf2|00484","GQ602_000484"
2041974,2042478,"Ophcf2|00485","GQ602_000485"
2043158,2043797,"Ophcf2|00486","GQ602_000486"
2044138,2045271,"Ophcf2|00487","GQ602_000487"
2046390,2049623,"Ophcf2|00488","GQ602_000488"
2053941,2055559,"Ophcf2|00489","GQ602_000489"
2056574,2058978,"Ophcf2|00490","GQ602_000490"
2059651,2064359,"Ophcf2|00491","GQ602_000491"
2065821,2067224,"Ophcf2|00492","GQ602_000492"
2069750,2072182,"Ophcf2|00493","GQ602_000493"
2072773,2074131,"Ophcf2|00494","GQ602_000494"
2074506,2075798,"Ophcf2|00495","GQ602_000495"
2076073,2077325,"Ophcf2|00496","GQ602_000496"
2077559,2079058,"Ophcf2|00497","GQ602_000497"
2079368,2081650,"Ophcf2|00498","GQ602_000498"
2085229,2085783,"Ophcf2|00499","GQ602_000499"
2085992,2086798,"Ophcf2|00500","GQ602_000500"
2087572,2089530,"Ophcf2|00501","GQ602_000501"
2090090,2091250,"Ophcf2|00502","GQ602_000502"
2091681,2092442,"Ophcf2|00503","GQ602_000503"
2093030,2094512,"Ophcf2|00504","GQ602_000504"
2095967,2096728,"Ophcf2|00505","GQ602_000505"
2100281,2102919,"Ophcf2|00506","GQ602_000506"
2103215,2103719,"Ophcf2|00507","GQ602_000507"
