"start","end","attributes_robin","attributes_ncbi"
116,1058,"Ophio5|1","XA68_10000"
939,2990,"Ophio5|207","XA68_10205"
3056,3433,"Ophio5|208","XA68_10206"
728,4988,"Ophio5|209","XA68_10207"
5438,7476,"Ophio5|210","XA68_10208"
8118,9395,"Ophio5|211","XA68_10209"
9679,10705,"Ophio5|212","XA68_10210"
11040,13766,"Ophio5|213","XA68_10211"
14366,15723,"Ophio5|214","XA68_10212"
16407,17229,"Ophio5|215","XA68_10213"
17495,17800,"Ophio5|216","XA68_10214"
18268,20955,"Ophio5|217","XA68_10215"
21103,22265,"Ophio5|218","XA68_10216"
22436,22883,"Ophio5|219","XA68_10217"
23252,24199,"Ophio5|220","XA68_10218"
24893,27253,"Ophio5|221","XA68_10219"
27892,28864,"Ophio5|222","XA68_10220"
29694,30977,"Ophio5|223","XA68_10221"
31676,34163,"Ophio5|224","XA68_10222"
34869,37483,"Ophio5|225","XA68_10223"
657,1767,"Ophio5|226","XA68_10224"
2084,3571,"Ophio5|227","XA68_10225"
706,1585,"Ophio5|228","XA68_10226"
1752,2165,"Ophio5|229","XA68_10227"
2319,3484,"Ophio5|230","XA68_10228"
1507,3473,"Ophio5|231","XA68_10229"
104,850,"Ophio5|232","XA68_10230"
1083,3762,"Ophio5|233","XA68_10231"
628,1207,"Ophio5|234","XA68_10232"
1433,3344,"Ophio5|235","XA68_10233"
716,1879,"Ophio5|236","XA68_10234"
1966,3470,"Ophio5|237","XA68_10235"
846,1318,"Ophio5|238","XA68_10236"
2319,2939,"Ophio5|239","XA68_10237"
454,3599,"Ophio5|240","XA68_10238"
111,1325,"Ophio5|241","XA68_10239"
1362,2974,"Ophio5|242","XA68_10240"
3504,4779,"Ophio5|243","XA68_10241"
5097,6986,"Ophio5|244","XA68_10242"
7242,8174,"Ophio5|245","XA68_10243"
8191,9995,"Ophio5|246","XA68_10244"
10629,12136,"Ophio5|247","XA68_10245"
12598,13551,"Ophio5|248","XA68_10246"
14136,15561,"Ophio5|249","XA68_10247"
20115,20962,"Ophio5|250","XA68_10248"
21526,24260,"Ophio5|251","XA68_10249"
24717,25841,"Ophio5|252","XA68_10250"
26301,27540,"Ophio5|253","XA68_10251"
28140,29487,"Ophio5|254","XA68_10252"
30387,33056,"Ophio5|255","XA68_10253"
33492,34976,"Ophio5|256","XA68_10254"
35791,37121,"Ophio5|257","XA68_10255"
38203,39378,"Ophio5|258","XA68_10256"
1696,2784,"Ophio5|259","XA68_10257"
2916,3766,"Ophio5|260","XA68_10258"
1102,3322,"Ophio5|261","XA68_10259"
1869,2339,"Ophio5|262","XA68_10260"
1608,4004,"Ophio5|263","XA68_10261"
1135,1623,"Ophio5|264","XA68_10262"
2779,3487,"Ophio5|265","XA68_10263"
302,2271,"Ophio5|266","XA68_10264"
2295,3760,"Ophio5|267","XA68_10265"
19,654,"Ophio5|268","XA68_10266"
1663,3474,"Ophio5|269","XA68_10267"
523,2879,"Ophio5|270","XA68_10268"
3463,3936,"Ophio5|271","XA68_10269"
1672,4429,"Ophio5|272","XA68_10270"
5780,7159,"Ophio5|273","XA68_10271"
7630,8092,"Ophio5|274","XA68_10272"
9897,10292,"Ophio5|275","XA68_10273"
12308,13683,"Ophio5|276","XA68_10274"
14013,15167,"Ophio5|277","XA68_10275"
15634,16313,"Ophio5|278","XA68_10276"
16735,17715,"Ophio5|279","XA68_10277"
17904,19594,"Ophio5|280","XA68_10278"
20026,21008,"Ophio5|281","XA68_10279"
21402,22519,"Ophio5|282","XA68_10280"
23888,24266,"Ophio5|283","XA68_10281"
24965,26083,"Ophio5|284","XA68_10282"
26442,26846,"Ophio5|285","XA68_10283"
27187,28692,"Ophio5|286","XA68_10284"
28887,30152,"Ophio5|287","XA68_10285"
31435,33337,"Ophio5|288","XA68_10286"
34065,35246,"Ophio5|289","XA68_10287"
35659,37424,"Ophio5|290","XA68_10288"
38421,39240,"Ophio5|291","XA68_10289"
39655,41001,"Ophio5|292","XA68_10290"
42211,42569,"Ophio5|293","XA68_10291"
42810,43484,"Ophio5|294","XA68_10292"
1247,2665,"Ophio5|295","XA68_10293"
1653,3285,"Ophio5|296","XA68_10294"
345,2889,"Ophio5|297","XA68_10295"
515,3252,"Ophio5|298","XA68_10296"
1285,2940,"Ophio5|299","XA68_10297"
520,1854,"Ophio5|300","XA68_10298"
2214,3366,"Ophio5|301","XA68_10299"
2081,3046,"Ophio5|302","XA68_10300"
3380,3782,"Ophio5|303","XA68_10301"
145,1644,"Ophio5|304","XA68_10302"
2665,4135,"Ophio5|305","XA68_10303"
4506,5368,"Ophio5|306","XA68_10304"
5782,7674,"Ophio5|307","XA68_10305"
8091,8600,"Ophio5|308","XA68_10306"
8775,9465,"Ophio5|309","XA68_10307"
9719,10005,"Ophio5|310","XA68_10308"
10150,10814,"Ophio5|311","XA68_10309"
11048,12340,"Ophio5|312","XA68_10310"
13051,14209,"Ophio5|313","XA68_10311"
14562,16774,"Ophio5|314","XA68_10312"
19394,21389,"Ophio5|315","XA68_10313"
22645,23869,"Ophio5|316","XA68_10314"
24593,25127,"Ophio5|317","XA68_10315"
25791,28614,"Ophio5|318","XA68_10316"
30949,33415,"Ophio5|319","XA68_10317"
34495,35307,"Ophio5|320","XA68_10318"
35607,35880,"Ophio5|321","XA68_10319"
36254,38227,"Ophio5|322","XA68_10320"
39228,40752,"Ophio5|323","XA68_10321"
40974,43082,"Ophio5|324","XA68_10322"
241,3416,"Ophio5|325","XA68_10323"
753,2600,"Ophio5|326","XA68_10324"
106,1204,"Ophio5|327","XA68_10325"
2489,3382,"Ophio5|328","XA68_10326"
1225,1905,"Ophio5|329",NA
1516,3572,"Ophio5|330","XA68_10327"
218,764,"Ophio5|331",NA
981,2331,"Ophio5|332",NA
2451,3440,"Ophio5|333",NA
898,1216,"Ophio5|334","XA68_10331"
1258,3731,"Ophio5|335","XA68_10332"
130,1654,"Ophio5|336","XA68_10333"
2183,3352,"Ophio5|337","XA68_10334"
740,2527,"Ophio5|338","XA68_10335"
1076,3683,"Ophio5|339","XA68_10336"
378,1435,"Ophio5|340","XA68_10337"
2179,3597,"Ophio5|341","XA68_10338"
5893,8254,"Ophio5|342","XA68_10339"
9133,10008,"Ophio5|343","XA68_10340"
10709,15204,"Ophio5|344","XA68_10341"
15787,17008,"Ophio5|345","XA68_10342"
17347,18944,"Ophio5|346","XA68_10343"
19306,22291,"Ophio5|347","XA68_10344"
22673,25396,"Ophio5|348","XA68_10345"
25522,26040,"Ophio5|349","XA68_10346"
26772,29165,"Ophio5|350","XA68_10347"
29353,29920,"Ophio5|351","XA68_10348"
30259,33203,"Ophio5|352","XA68_10349"
33460,34640,"Ophio5|353","XA68_10350"
35207,36050,"Ophio5|354","XA68_10351"
39146,42832,"Ophio5|355","XA68_10352"
234,2284,"Ophio5|356","XA68_10353"
657,2624,"Ophio5|357","XA68_10354"
242,664,"Ophio5|358","XA68_10355"
725,3430,"Ophio5|359","XA68_10356"
753,2617,"Ophio5|360","XA68_10357"
651,1802,"Ophio5|361","XA68_10358"
2312,3053,"Ophio5|362","XA68_10359"
617,1416,"Ophio5|363","XA68_10360"
1775,3456,"Ophio5|364","XA68_10361"
1439,3246,"Ophio5|365","XA68_10362"
716,2845,"Ophio5|366","XA68_10363"
599,1610,"Ophio5|367","XA68_10364"
154,1872,"Ophio5|368","XA68_10365"
2256,2579,"Ophio5|369","XA68_10366"
2927,3421,"Ophio5|370","XA68_10367"
4956,6020,"Ophio5|371","XA68_10368"
6285,8064,"Ophio5|372","XA68_10369"
9366,10283,"Ophio5|373","XA68_10370"
10758,12506,"Ophio5|374","XA68_10371"
13116,14237,"Ophio5|375","XA68_10372"
15522,19280,"Ophio5|376","XA68_10373"
21728,22229,"Ophio5|377","XA68_10374"
22775,23715,"Ophio5|378","XA68_10375"
23808,24665,"Ophio5|379","XA68_10376"
25063,26799,"Ophio5|380","XA68_10377"
27041,27332,"Ophio5|381","XA68_10378"
27817,31156,"Ophio5|382","XA68_10379"
31561,32412,"Ophio5|383","XA68_10380"
34172,34498,"Ophio5|384","XA68_10381"
35077,37446,"Ophio5|385","XA68_10382"
37462,38801,"Ophio5|386","XA68_10383"
39210,40208,"Ophio5|387","XA68_10384"
41269,42282,"Ophio5|388","XA68_10385"
253,3240,"Ophio5|389","XA68_10386"
427,878,"Ophio5|390","XA68_10387"
1094,2840,"Ophio5|391","XA68_10388"
5,2267,"Ophio5|392","XA68_10389"
2400,3235,"Ophio5|393","XA68_10390"
71,2793,"Ophio5|394","XA68_10391"
824,3405,"Ophio5|395","XA68_10392"
329,2607,"Ophio5|396","XA68_10393"
458,947,"Ophio5|397","XA68_10394"
999,3296,"Ophio5|398","XA68_10395"
518,2797,"Ophio5|399","XA68_10396"
384,2935,"Ophio5|400","XA68_10397"
3279,3546,"Ophio5|401","XA68_10398"
3766,4584,"Ophio5|402","XA68_10399"
5507,6582,"Ophio5|403","XA68_10400"
7014,8101,"Ophio5|404","XA68_10401"
8359,8739,"Ophio5|405","XA68_10402"
8899,10869,"Ophio5|406","XA68_10403"
11292,13618,"Ophio5|407","XA68_10404"
15827,16219,"Ophio5|408","XA68_10405"
16737,18852,"Ophio5|409","XA68_10406"
19022,19630,"Ophio5|410","XA68_10407"
20245,22024,"Ophio5|411","XA68_10408"
22109,23191,"Ophio5|412","XA68_10409"
24309,25649,"Ophio5|413","XA68_10410"
27286,28584,"Ophio5|414","XA68_10411"
29000,31890,"Ophio5|415","XA68_10412"
33177,35087,"Ophio5|416","XA68_10413"
36847,37194,"Ophio5|417","XA68_10414"
38039,40259,"Ophio5|418","XA68_10415"
40678,41913,"Ophio5|419","XA68_10416"
43187,44712,"Ophio5|420","XA68_10417"
45169,45748,"Ophio5|421","XA68_10418"
45821,46756,"Ophio5|422","XA68_10419"
48313,48723,"Ophio5|423","XA68_10420"
49259,50122,"Ophio5|424","XA68_10421"
50270,54046,"Ophio5|425","XA68_10422"
55885,56305,"Ophio5|426","XA68_10423"
57263,59098,"Ophio5|427","XA68_10424"
59611,61389,"Ophio5|428","XA68_10425"
62203,63756,"Ophio5|429","XA68_10426"
64188,66352,"Ophio5|430","XA68_10427"
67484,69895,"Ophio5|431","XA68_10428"
71636,75662,"Ophio5|432","XA68_10429"
76661,78575,"Ophio5|433","XA68_10430"
79177,80429,"Ophio5|434","XA68_10431"
80822,81745,"Ophio5|435","XA68_10432"
82023,84760,"Ophio5|436","XA68_10433"
85340,86491,"Ophio5|437","XA68_10434"
87913,90725,"Ophio5|438","XA68_10435"
91044,91639,"Ophio5|439","XA68_10436"
92003,93151,"Ophio5|440","XA68_10437"
93222,94077,"Ophio5|441","XA68_10438"
94693,96360,"Ophio5|442","XA68_10439"
1101,2213,"Ophio5|443","XA68_10440"
2546,3594,"Ophio5|444","XA68_10441"
5722,6236,"Ophio5|445","XA68_10442"
6603,8807,"Ophio5|446","XA68_10443"
10023,10763,"Ophio5|447","XA68_10444"
10924,11151,"Ophio5|448","XA68_10445"
11666,13748,"Ophio5|449","XA68_10446"
14131,15604,"Ophio5|450","XA68_10447"
16379,19532,"Ophio5|451","XA68_10448"
20162,21416,"Ophio5|452","XA68_10449"
22536,23882,"Ophio5|453","XA68_10450"
24164,26300,"Ophio5|454","XA68_10451"
26951,30857,"Ophio5|455","XA68_10452"
33385,33767,"Ophio5|456","XA68_10453"
34600,35153,"Ophio5|457","XA68_10454"
36479,36949,"Ophio5|458","XA68_10455"
37048,37459,"Ophio5|459","XA68_10456"
37901,38651,"Ophio5|460","XA68_10457"
39051,39977,"Ophio5|461","XA68_10458"
40368,41054,"Ophio5|462","XA68_10459"
41642,42907,"Ophio5|463","XA68_10460"
795,3568,"Ophio5|464","XA68_10461"
15,296,"Ophio5|465","XA68_10462"
1646,2864,"Ophio5|466","XA68_10463"
1110,3440,"Ophio5|467","XA68_10464"
448,3157,"Ophio5|468","XA68_10465"
689,2934,"Ophio5|469","XA68_10466"
36,2948,"Ophio5|470","XA68_10467"
1103,2929,"Ophio5|471","XA68_10468"
487,2358,"Ophio5|472","XA68_10469"
270,3398,"Ophio5|473","XA68_10470"
3730,4587,"Ophio5|474","XA68_10471"
5454,7620,"Ophio5|475","XA68_10472"
8076,10384,"Ophio5|476","XA68_10473"
11310,12764,"Ophio5|477","XA68_10474"
14280,15419,"Ophio5|478","XA68_10475"
16080,17006,"Ophio5|479","XA68_10476"
17263,18741,"Ophio5|480","XA68_10477"
19189,20805,"Ophio5|481","XA68_10478"
21502,22734,"Ophio5|482","XA68_10479"
23506,26521,"Ophio5|483","XA68_10480"
27390,29957,"Ophio5|484","XA68_10481"
30141,31878,"Ophio5|485","XA68_10482"
32980,34318,"Ophio5|486","XA68_10483"
34954,35751,"Ophio5|487","XA68_10484"
36103,37264,"Ophio5|488","XA68_10485"
38210,39985,"Ophio5|489","XA68_10486"
40878,42275,"Ophio5|490","XA68_10487"
322,2885,"Ophio5|491","XA68_10488"
210,2864,"Ophio5|492","XA68_10489"
601,1677,"Ophio5|493","XA68_10490"
967,2331,"Ophio5|494","XA68_10491"
2556,3455,"Ophio5|495","XA68_10492"
129,2932,"Ophio5|496","XA68_10493"
1151,1847,"Ophio5|497","XA68_10494"
2289,2963,"Ophio5|498","XA68_10495"
82,738,"Ophio5|499",NA
1258,1633,"Ophio5|500",NA
1472,2686,"Ophio5|501","XA68_10498"
4705,6186,"Ophio5|502","XA68_10499"
7478,10630,"Ophio5|503","XA68_10500"
16227,17150,"Ophio5|504","XA68_10501"
17740,18697,"Ophio5|505","XA68_10502"
19941,21920,"Ophio5|506","XA68_10503"
23706,24403,"Ophio5|507","XA68_10504"
24844,25501,"Ophio5|508","XA68_10505"
26716,27318,"Ophio5|509","XA68_10506"
28067,30232,"Ophio5|510","XA68_10507"
30526,31053,"Ophio5|511","XA68_10508"
31520,33896,"Ophio5|512","XA68_10509"
37623,39787,"Ophio5|513","XA68_10510"
40057,40966,"Ophio5|514","XA68_10511"
41532,42086,"Ophio5|515","XA68_10512"
1281,2012,"Ophio5|516","XA68_10513"
1952,3128,"Ophio5|517","XA68_10514"
295,615,"Ophio5|518","XA68_10515"
1653,2117,"Ophio5|519","XA68_10516"
2281,3158,"Ophio5|520","XA68_10517"
280,3078,"Ophio5|521","XA68_10518"
1025,3316,"Ophio5|522","XA68_10519"
485,1144,"Ophio5|523","XA68_10520"
2630,2992,"Ophio5|524","XA68_10521"
377,3219,"Ophio5|525","XA68_10522"
480,3633,"Ophio5|526","XA68_10523"
4722,6163,"Ophio5|527","XA68_10524"
8651,10055,"Ophio5|528","XA68_10525"
10937,12088,"Ophio5|529","XA68_10526"
12206,13450,"Ophio5|530","XA68_10527"
13762,15834,"Ophio5|531","XA68_10528"
16146,17676,"Ophio5|532","XA68_10529"
18066,18985,"Ophio5|533","XA68_10530"
20049,29112,"Ophio5|534","XA68_10531"
29809,30876,"Ophio5|535","XA68_10532"
31198,33861,"Ophio5|536","XA68_10533"
34951,35470,"Ophio5|537","XA68_10534"
35772,36878,"Ophio5|538","XA68_10535"
38908,40267,"Ophio5|539","XA68_10536"
435,2454,"Ophio5|540","XA68_10537"
2598,3007,"Ophio5|541","XA68_10538"
255,3024,"Ophio5|542","XA68_10539"
353,2421,"Ophio5|543","XA68_10540"
96,3335,"Ophio5|544","XA68_10541"
5906,9207,"Ophio5|545","XA68_10542"
14244,15521,"Ophio5|546","XA68_10543"
16402,17409,"Ophio5|547","XA68_10544"
19005,23601,"Ophio5|548","XA68_10545"
25373,27144,"Ophio5|549","XA68_10546"
27910,30038,"Ophio5|550","XA68_10547"
31199,33426,"Ophio5|551","XA68_10548"
33440,33835,"Ophio5|552","XA68_10549"
34097,34628,"Ophio5|553","XA68_10550"
34692,35415,"Ophio5|554","XA68_10551"
35857,37058,"Ophio5|555","XA68_10552"
37301,37872,"Ophio5|556","XA68_10553"
38567,41572,"Ophio5|557","XA68_10554"
1006,2956,"Ophio5|558","XA68_10555"
499,2673,"Ophio5|559","XA68_10556"
930,2576,"Ophio5|560","XA68_10557"
854,3232,"Ophio5|561","XA68_10558"
46,1434,"Ophio5|562","XA68_10559"
1493,2947,"Ophio5|563","XA68_10560"
742,2719,"Ophio5|564","XA68_10561"
2544,2879,"Ophio5|565","XA68_10562"
1775,2300,"Ophio5|566","XA68_10563"
866,1577,"Ophio5|567","XA68_10564"
1587,2339,"Ophio5|568","XA68_10565"
3701,5830,"Ophio5|569","XA68_10566"
6375,8733,"Ophio5|570","XA68_10567"
9203,10943,"Ophio5|571","XA68_10568"
10965,11495,"Ophio5|572","XA68_10569"
12744,13820,"Ophio5|573","XA68_10570"
15731,17284,"Ophio5|574","XA68_10571"
19704,20429,"Ophio5|575","XA68_10572"
22247,24461,"Ophio5|576","XA68_10573"
25144,26277,"Ophio5|577","XA68_10574"
26775,28551,"Ophio5|578","XA68_10575"
29178,30011,"Ophio5|579","XA68_10576"
30270,31406,"Ophio5|580","XA68_10577"
31725,32929,"Ophio5|581","XA68_10578"
33422,34036,"Ophio5|582","XA68_10579"
34375,35142,"Ophio5|583","XA68_10580"
35966,37402,"Ophio5|584","XA68_10581"
37982,42355,"Ophio5|585","XA68_10582"
141,782,"Ophio5|586","XA68_10583"
1829,2186,"Ophio5|587","XA68_10584"
949,2991,"Ophio5|588","XA68_10585"
490,2898,"Ophio5|589","XA68_10586"
455,2463,"Ophio5|590","XA68_10587"
297,2690,"Ophio5|591","XA68_10588"
120,407,"Ophio5|592","XA68_10589"
1487,2683,"Ophio5|593","XA68_10590"
309,4889,"Ophio5|594","XA68_10591"
5946,6472,"Ophio5|595","XA68_10592"
6898,8297,"Ophio5|596","XA68_10593"
8695,9176,"Ophio5|597","XA68_10594"
9664,10165,"Ophio5|598","XA68_10595"
10707,11464,"Ophio5|599","XA68_10596"
12078,12814,"Ophio5|600","XA68_10597"
13290,14032,"Ophio5|601","XA68_10598"
14629,15283,"Ophio5|602","XA68_10599"
16025,16744,"Ophio5|603","XA68_10600"
17022,20152,"Ophio5|604","XA68_10601"
20432,21371,"Ophio5|605","XA68_10602"
22107,23702,"Ophio5|606","XA68_10603"
24232,25705,"Ophio5|607","XA68_10604"
27825,32243,"Ophio5|608","XA68_10605"
32689,33588,"Ophio5|609","XA68_10606"
33972,34557,"Ophio5|610","XA68_10607"
35658,37127,"Ophio5|611","XA68_10608"
39145,39857,"Ophio5|612","XA68_10609"
